facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V16) (580) Michael E DeBakey
VAMC",,"48,015","47,539",,,99.01%,476,0.99%,"43,208",,"2,165","2,166",389,74,11,2,4,3,1,
(V16) (580BY) Beaumont,,"3,850","3,825",,,99.35%,25,0.65%,"3,612",,108,105,23,1,1,0,1,3,0,
"(V16) (580BZ) Charles Wilson VA
OPC",,"2,528","2,470",,,97.71%,58,2.29%,"2,105",,196,169,36,16,0,6,5,9,1,
(V16) (580GC) Galveston County,,"3,493","3,332",,,95.39%,161,4.61%,"3,069",,110,153,118,24,5,14,7.90,4,4,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V16) (580GD) Conroe,,"3,945","3,895",,,98.73%,50,1.27%,"3,559",,187,149,49,0,1,0,2,2,4.00,
(V16) (580GE) Katy,,"3,278","3,274",,,99.88%,4,0.12%,"2,840",,225,209,4,0,0,0,3,3,1,
(V16) (580GF) Lake Jackson,,"1,070","1,070",,,100.00%,0,0.00%,999,,32,39,0,0,0,0,1,0.00,3,
(V16) (580GG) Richmond,,"2,189","2,171",,,99.18%,18,0.82%,"1,944",,131,96,15,3,0,0,3,2.70,2,
(V16) (580GH) Tomball,,"3,734","3,628",,,97.16%,106,2.84%,"3,301",,158,169,86,20,0,0,3,4,3,
"(V16) (586) Jackson, MS",,"24,777","24,174",,,97.57%,603,2.43%,"22,163",,"1,139",872,310,164,119,10,5,5,0.60,
"(V16) (586) G. V. (Sonny)
Montgomery VAMC",,"20,556","19,974",,,97.17%,582,2.83%,"18,467",,772,735,290,163,119,10,7,5,0.50,
(V16) (586GA) Durant (Kosciusko),,382,382,,,100.00%,0,0.00%,327,,51,4,0,0,0,0,3,,2,
(V16) (586GB) Meridian,,574,571,,,99.48%,3,0.52%,440,,89,42,2,1,0,0,5,0.00,0,
(V16) (586GC) Greenville,,393,391,,,99.49%,2,0.51%,336,,43,12,2,0,0,0,4,,0.00,
(V16) (586GD) Hattiesburg,,"1,627","1,612",,,99.08%,15,0.92%,"1,544",,35,33,15,0,0,0,2,0.00,0,
"(V16) (586GE) Natchez (Adams
County)",,287,287,,,100.00%,0,0.00%,236,,43,8,0,0,0,0,4,,0.00,
(V16) (586GF) Columbus,,520,520,,,100.00%,0,0.00%,451,,56,13,0,0,0,0,3,,0,
(V16) (586GG) McComb,,438,437,,,99.77%,1,0.23%,362,,50,25,1,0,0,0,2,,8,
"(V16) (598) Little Rock, AR",,"41,524","40,470",,,97.46%,"1,054",2.54%,"36,039",,"2,389","2,042",712,175,84,83,5,6,2,
"(V16) (598) John L McClellan
Memorial Veterans Hospital",,"16,340","15,924",,,97.45%,416,2.55%,"13,973",,917,"1,034",241,66,46,63,2,7,0.00,
"(V16) (598A0) Central AR. Veterans
HCS NLR",,"17,041","16,689",,,97.93%,352,2.07%,"14,996",,990,703,280,53,7,12,5,5,1.90,
(V16) (598GA) Mountain Home,,983,978,,,99.49%,5,0.51%,877,,72,29,5,0,0,0,2,0.00,2,
(V16) (598GB) El Dorado,,885,857,,,96.84%,28,3.16%,804,,32,21,27,1,0,0,5,0.00,3.00,
(V16) (598GC) Hot Springs,,"1,407","1,357",,,96.45%,50,3.55%,"1,197",,107,53,27,13,4,6,6,8,3,
(V16) (598GD) Mena,,420,419,,,99.76%,1,0.24%,411,,4,4,1,0,0,0,0,0.00,2,
(V16) (598GE) Pine Bluff,,852,841,,,98.71%,11,1.29%,735,,48,58,10,1,0,0,5,0.00,6,
(V16) (598GF) Searcy,,"1,031","1,007",,,97.67%,24,2.33%,906,,60,41,23,0,1,0,5,0.00,1,
(V16) (598GG) Conway,,"1,884","1,720",,,91.30%,164,8.70%,"1,482",,141,97,95,41,26,2,7,16,2,
(V16) (598GH) Russellville,,681,678,,,99.56%,3,0.44%,658,,18,2,3,0,0,0,1.10,1,0.00,
"(V16) (623) Muskogee, OK",,"21,884","21,106",,,96.44%,778,3.56%,"18,007",,"1,361","1,738",636,100,20,22,5,6,4,
"(V16) (623) Jack C Montgomery
VAMC",,"11,803","11,556",,,97.91%,247,2.09%,"9,898",,702,956,210,27,2,8,4,5,2.50,
(V16) (623BY) Tulsa,,"8,893","8,363",,,94.04%,530,5.96%,"6,975",,631,757,425,73,18,14,6,9,7,
(V16) (623GA) Hartshorne,,565,565,,,100.00%,0,0.00%,536,,18,11,0,0,0,0,1,0,2,
(V16) (623GB) Vinita,,623,622,,,99.84%,1,0.16%,598,,10,14,1,0,0,0,1.90,1,0,
"(V16) (629) New Orleans, LA",,"33,346","32,519",,,97.52%,827,2.48%,"27,568",,"2,727","2,224",669,156,1,1,4,6,3.40,
(V16) (629) New Orleans VAMC,,"20,928","20,304",,,97.02%,624,2.98%,"17,115",,"1,686","1,503",504,118,1,1,5,7,2,
(V16) (629BY) Baton Rouge,,"6,191","6,059",,,97.87%,132,2.13%,"5,059",,582,418,107,25,0,0,3,6,6,
(V16) (629GA) Houma,,"1,269","1,245",,,98.11%,24,1.89%,"1,074",,78,93,24,0,0,0,5,1,6,
(V16) (629GB) Hammond,,"1,838","1,829",,,99.51%,9,0.49%,"1,615",,108,106,9,0,0,0,5,2,0,
(V16) (629GC) Slidell,,"1,688","1,658",,,98.22%,30,1.78%,"1,490",,109,59,18,12,0,0,5,3,0,
(V16) (629GD) St. John,,714,711,,,99.58%,3,0.42%,563,,125,23,2,1,0,0,4,0,6,
(V16) (629GE) Franklin,,328,324,,,98.78%,4,1.22%,301,,14,9,4,0,0,0,4,0.00,9,
(V16) (629GF) Bogalusa,,390,389,,,99.74%,1,0.26%,351,,25,13,1,0,0,0,4,0.00,5,
"(V16) (635) Oklahoma City, OK",,"38,465","37,662",,,97.91%,803,2.09%,"34,406",,"1,679","1,577",586,169,29,19,3,6,2,
(V16) (635) Oklahoma City VAMC,,"31,362","30,602",,,97.58%,760,2.42%,"27,943",,"1,359","1,300",549,168,28,15,3,6,2,
(V16) (635GA) Lawton,,"2,452","2,425",,,98.90%,27,1.10%,"2,082",,145,198,22,0,1,4,5,7,2,
(V16) (635GB) Wichita Falls,,828,827,,,99.88%,1,0.12%,764,,48,15,1,0,0,0,1,3,2,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V16) (635GC) Blackwell,,130,130,,,100.00%,0,0.00%,129,,1,0,0,0,0,0,0,0.00,0.00,
(V16) (635GD) Ada,,372,371,,,99.73%,1,0.27%,369,,1,1,1,0,0,0,0,1,0.00,
(V16) (635GE) Stillwater,,339,339,,,100.00%,0,0.00%,300,,26,13,0,0,0,0,3,4,0,
(V16) (635GF) Altus,,105,103,,,98.10%,2,1.90%,101,,2,0,2,0,0,0,0.00,15.80,1,
(V16) (635GG) Enid,,234,234,,,100.00%,0,0.00%,229,,4,1,0,0,0,0,0,4,1,
(V16) (635HB) Ardmore,,395,395,,,100.00%,0,0.00%,391,,3,1,0,0,0,0,1,1,1,
(V16) (635QB) South Oklahoma City,,"2,248","2,236",,,99.47%,12,0.53%,"2,098",,90,48,11,1,0,0,2,3.40,2,
"(V16) (667) Shreveport, LA",,"20,366","19,913",,,97.78%,453,2.22%,"17,585",,"1,434",894,343,85,16,9,5,4,3,
(V16) (667) Overton Brooks VAMC,,"15,442","15,126",,,97.95%,316,2.05%,"13,314",,"1,148",664,231,63,16,6,5,4,2,
(V16) (667GA) Texarkana,,"1,760","1,667",,,94.72%,93,5.28%,"1,452",,124,91,73,20,0,0,8,2,3,
(V16) (667GB) Monroe,,"1,467","1,446",,,98.57%,21,1.43%,"1,321",,57,68,19,1,0,1,3,0,2,
(V16) (667GC) Longview,,"1,687","1,664",,,98.64%,23,1.36%,"1,488",,105,71,20,1,0,2,4,2,4,
(V16) (667MA) IDES Barksdale AFB,,10,10,,,100.00%,0,0.00%,10,,0,0,0,0,0,0,,0.00,0.00,
"(V17) (549) Dallas, TX",,"69,484","68,458",,,98.52%,"1,026",1.48%,"61,935",,"3,356","3,167",927,78,8,13,4.80,3,1,
(V17) (549) Dallas VAMC,,"44,093","43,505",,,98.67%,588,1.33%,"40,296",,"1,621","1,588",525,48,3,12,5,3,0,
"(V17) (549A4) Sam Rayburn
Memorial Veterans Center",,"6,344","6,286",,,99.09%,58,0.91%,"5,562",,351,373,43,11,4,0,4,4,1,
(V17) (549BY) Fort Worth VA Clinic,,"12,650","12,369",,,97.78%,281,2.22%,"10,609",,886,874,276,3,1,1,5,4,3,
(V17) (549GA) Tyler,,172,171,,,99.42%,1,0.58%,164,,6,1,1,0,0,0,,2,,
(V17) (549GD) Denton,,"1,438","1,432",,,99.58%,6,0.42%,"1,089",,214,129,6,0,0,0,5.70,2,1,
(V17) (549GE) Bridgeport,,242,240,,,99.17%,2,0.83%,227,,10,3,2,0,0,0,2,0.00,8,
(V17) (549GF) Granbury,,254,254,,,100.00%,0,0.00%,220,,23,11,0,0,0,0,3,,,
(V17) (549GH) Greenville,,316,316,,,100.00%,0,0.00%,264,,36,16,0,0,0,0,4,0.00,2,
(V17) (549GJ) Sherman,,920,902,,,98.04%,18,1.96%,746,,78,78,18,0,0,0,5,2,2,
(V17) (549GL) Plano,,"1,060","1,054",,,99.43%,6,0.57%,998,,41,15,5,1,0,0,2,0,0.90,
(V17) (549QC) Broadway,,"1,995","1,929",,,96.69%,66,3.31%,"1,760",,90,79,51,15,0,0,7,1,3,
"(V17) (671) San Antonio, TX",,"53,945","51,391",,,95.27%,"2,554",4.73%,"45,192",,"2,793","3,406","1,718",606,156,74,6,7,2,
"(V17) (671) Audie L Murphy Memorial
Veterans Hospital",,"37,694","35,784",,,94.93%,"1,910",5.07%,"31,579",,"1,801","2,404","1,241",468,131,70,7,7,2,
(V17) (671A4) Kerrville VAMC,,"3,404","3,154",,,92.66%,250,7.34%,"2,755",,181,218,169,70,11,0,7.40,9,1.90,
"(V17) (671BU) San Antonio
Domiciliary",,510,510,,,100.00%,0,0.00%,473,,23,14,0,0,0,0,,,1,
"(V17) (671BY) Frank M Tejeda VA
OPC",,"6,151","6,023",,,97.92%,128,2.08%,"5,326",,316,381,109,16,2,1,4,9,3,
(V17) (671GB) Victoria,,888,865,,,97.41%,23,2.59%,790,,29,46,23,0,0,0,3,3,3,
(V17) (671GF) South Bexar County,,"1,011",888,,,87.83%,123,12.17%,697,,92,99,82,33,5,3,14,,3,
(V17) (671GH) Beeville,,139,139,,,100.00%,0,0.00%,139,,0,0,0,0,0,0,0.00,,,
(V17) (671GK) San Antonio,,"1,423","1,422",,,99.93%,1,0.07%,"1,214",,167,41,1,0,0,0,3,,,
"(V17) (671GL) New Braunfels VA
Clinic",,449,415,,,92.43%,34,7.57%,293,,60,62,34,0,0,0,8.20,,,
(V17) (671GN) Seguin,,144,144,,,100.00%,0,0.00%,127,,15,2,0,0,0,0,2,,,
"(V17) (671GO) North Central Federal
VA Clinic",,"2,132","2,047",,,96.01%,85,3.99%,"1,799",,109,139,59,19,7,0,7,2,3.20,
"(V17) (674) Temple, TX",,"63,368","60,762",,,95.89%,"2,606",4.11%,"51,658",,"4,157","4,947","2,119",408,46,33,9,6,3,
"(V17) (674) Olin E Teague Veterans
Center",,"35,479","33,783",,,95.22%,"1,696",4.78%,"28,874",,"2,256","2,653","1,428",223,27,18,13.40,5,4,
(V17) (674A4) Doris Miller VAMC,,"6,811","6,686",,,98.16%,125,1.84%,"5,740",,482,464,118,7,0,0,6,4,2.10,
(V17) (674BY) Austin,,"15,680","14,962",,,95.42%,718,4.58%,"12,463",,"1,007","1,492",518,169,17,14,9,7,2,
(V17) (674GA) Palestine,,902,898,,,99.56%,4,0.44%,789,,90,19,4,0,0,0,3.00,3.00,2,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V17) (674GB) Brownwood,,"1,132","1,128",,,99.65%,4,0.35%,"1,022",,71,35,4,0,0,0,2,1.00,4,
(V17) (674GC) Bryan,,"1,587","1,558",,,98.17%,29,1.83%,"1,391",,85,82,18,9,1,1,3,6.00,6,
(V17) (674GD) Cedar Park,,"1,576","1,550",,,98.35%,26,1.65%,"1,224",,133,193,25,0,1,0,5,10.90,3,
(V17) (674HB) LaGrange,,201,197,,,98.01%,4,1.99%,155,,33,9,4,0,0,0,4,8,49,
(V17) (740) VA Texas Valley Coastal Bend HCS,,"20,050","19,041",,,94.97%,"1,009",5.03%,"17,017",,907,"1,117",659,237,36,77,5,11,2,
(V17) (740) Harlingen VA Clinic,,"3,711","3,501",,,94.34%,210,5.66%,"3,025",,214,262,96,45,17,52,5,13,2,
(V17) (740GA) Harlingen,,"4,506","4,268",,,94.72%,238,5.28%,"3,932",,126,210,197,19,10,12,5,8,2,
(V17) (740GB) McAllen,,"5,113","5,053",,,98.83%,60,1.17%,"4,596",,212,245,54,6,0,0,2,5,2.50,
(V17) (740GC) Corpus Christi,,"4,990","4,507",,,90.32%,483,9.68%,"3,833",,313,361,297,165,9,12,11,12,3,
(V17) (740GD) Laredo,,"1,730","1,712",,,98.96%,18,1.04%,"1,631",,42,39,15,2,0,1,2,2,1,
(V18) (501) New Mexico HCS,,"32,211","31,134",,,96.66%,"1,077",3.34%,"27,248",,"1,940","1,946",706,257,82,32,5,6,6,
"(V18) (501) Raymond G Murphy
VAMC",,"24,609","23,748",,,96.50%,861,3.50%,"20,629",,"1,509","1,610",572,197,73,19,7,6,4,
(V18) (501G2) Las Vegas,,692,646,,,93.35%,46,6.65%,556,,51,39,25,13,4,4,4,0.40,27,
(V18) (501GA) Artesia,,633,624,,,98.58%,9,1.42%,564,,23,37,3,2,2,2,2,0.00,20,
(V18) (501GB) Farmington,,785,765,,,97.45%,20,2.55%,627,,82,56,17,3,0,0,6,0.00,4,
(V18) (501GC) Silver City,,355,349,,,98.31%,6,1.69%,329,,7,13,3,0,2,1,1,0.00,34,
(V18) (501GD) Gallup NM,,608,601,,,98.85%,7,1.15%,584,,16,1,5,0,0,2,1,0.00,15,
(V18) (501GE) Espanola,,303,281,,,92.74%,22,7.26%,265,,10,6,10,8,0,4,3,,28,
"(V18) (501GH) Truth or
Consequences",,387,387,,,100.00%,0,0.00%,387,,0,0,0,0,0,0,0,,0.00,
(V18) (501GI) Alamogordo,,477,472,,,98.95%,5,1.05%,376,,70,26,3,1,1,0,4,0.00,10,
(V18) (501GJ) Durango,,595,594,,,99.83%,1,0.17%,591,,1,2,1,0,0,0,0,0.00,0.30,
(V18) (501GK) Santa Fe,,768,760,,,98.96%,8,1.04%,677,,53,30,3,5,0,0,2,1,7.80,
"(V18) (501GM) Northwest Metro VA
Clinic",,"1,764","1,677",,,95.07%,87,4.93%,"1,450",,107,120,60,27,0,0,3,13,8,
(V18) (501HB) Raton,,217,212,,,97.70%,5,2.30%,195,,11,6,4,1,0,0,3,0.00,18,
(V18) (501MA) IDES Kirtland AFB,,18,18,,,100.00%,0,0.00%,18,,0,0,0,0,0,0,,0.00,0.00,
"(V18) (504) Amarillo, TX",,"15,001","13,906",,,92.70%,"1,095",7.30%,"12,419",,615,872,760,245,56,34,9,11,4,
(V18) (504) Thomas E Creek VAMC,,"10,832","9,946",,,91.82%,886,8.18%,"8,775",,484,687,608,216,32,30,13.40,12,3,
(V18) (504BY) Lubbock TX,,"3,638","3,432",,,94.34%,206,5.66%,"3,146",,114,172,150,28,24,4,4,8,6.30,
(V18) (504BZ) Clovis,,398,398,,,100.00%,0,0.00%,381,,11,6,0,0,0,0,1,,2,
(V18) (504GA) Childress,,83,82,,,98.80%,1,1.20%,81,,1,0,1,0,0,0,1,,7.00,
(V18) (504HB) Dalhart,,50,48,,,96.00%,2,4.00%,36,,5,7,1,1,0,0,10,,7.00,
"(V18) (519) Big Spring, TX",,"7,127","6,960",,,97.66%,167,2.34%,"5,962",,498,500,155,11,1,0,4,5,4,
"(V18) (519) George H OBrien Jr
VAMC",,"2,606","2,530",,,97.08%,76,2.92%,"2,098",,217,215,69,7,0,0,5.20,5,4,
(V18) (519GA) Permian Basin,,"1,539","1,530",,,99.42%,9,0.58%,"1,330",,118,82,7,1,1,0,2.40,6,4,
(V18) (519GB) Hobbs,,258,256,,,99.22%,2,0.78%,247,,8,1,1,1,0,0,1,0.00,4,
(V18) (519GD) Fort Stockton,,32,28,,,87.50%,4,12.50%,18,,2,8,4,0,0,0,12,,,
(V18) (519HC) Abilene,,"1,718","1,671",,,97.26%,47,2.74%,"1,456",,88,127,45,2,0,0,5,3.30,6,
(V18) (519HD) Stamford,,11,11,,,100.00%,0,0.00%,10,,1,0,0,0,0,0,3,,,
(V18) (519HF) San Angelo,,963,934,,,96.99%,29,3.01%,803,,64,67,29,0,0,0,5,3,4,
"(V18) (644) Phoenix, AZ",,"56,645","53,494",,,94.44%,"3,151",5.56%,"46,478",,"3,282","3,734","2,427",533,129,62,7,8,3,
(V18) (644) Carl T Hayden VAMC,,"39,007","36,579",,,93.78%,"2,428",6.22%,"31,491",,"2,295","2,793","1,859",416,103,50,8,8,2,
(V18) (644BY) Southeast,,"8,690","8,205",,,94.42%,485,5.58%,"7,115",,541,549,369,80,26,10,6,8,4.30,
(V18) (644GA) Sun City,,"4,798","4,702",,,98.00%,96,2.00%,"4,326",,172,204,70,25,0,1,4,3,3,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V18) (644GB) Show Low,,"1,044","1,028",,,98.47%,16,1.53%,928,,75,25,13,2,0,1,3,8,2,
(V18) (644GD) Payson,,284,284,,,100.00%,0,0.00%,263,,21,0,0,0,0,0,3,0.00,0.10,
(V18) (644GE) Thunderbird,,"1,725","1,621",,,93.97%,104,6.03%,"1,378",,112,131,100,4,0,0,8,8,2,
(V18) (644GF) Globe,,261,260,,,99.62%,1,0.38%,232,,27,1,1,0,0,0,2,,1,
"(V18) (644GG) Northeast Phoenix VA
Clinic",,836,815,,,97.49%,21,2.51%,745,,39,31,15,6,0,0,6,1,2,
(V18) (649) Northern Arizona HCS,,"14,627","13,971",,,95.52%,656,4.48%,"12,730",,636,605,427,161,53,15,4,11,4,
(V18) (649) Bob Stump VAMC,,"10,460","9,919",,,94.83%,541,5.17%,"9,144",,401,374,333,140,53,15,3,11,4.90,
(V18) (649GA) Kingman,,"1,165","1,153",,,98.97%,12,1.03%,994,,91,68,12,0,0,0,5,6,2,
(V18) (649GB) Flagstaff,,688,686,,,99.71%,2,0.29%,617,,25,44,2,0,0,0,3,3.40,0,
(V18) (649GC) Lake Havasu,,"1,112","1,080",,,97.12%,32,2.88%,993,,61,26,25,7,0,0,5,0,0.80,
(V18) (649GD) Anthem,,432,421,,,97.45%,11,2.55%,368,,13,40,11,0,0,0,7,0.00,1.10,
(V18) (649GE) Cottonwood,,770,712,,,92.47%,58,7.53%,614,,45,53,44,14,0,0,9,2.00,1,
(V18) (678) Southern Arizona HCS,,"34,660","33,270",,,95.99%,"1,390",4.01%,"29,213",,"2,055","2,002",923,315,84,68,3,6.70,2,
(V18) (678) Tucson VAMC,,"26,305","25,048",,,95.22%,"1,257",4.78%,"21,958",,"1,511","1,579",821,295,77,64,3,7,2,
(V18) (678GA) Sierra Vista,,"1,828","1,765",,,96.55%,63,3.45%,"1,480",,123,162,56,4,3,0,4,7,3,
(V18) (678GB) Yuma,,"1,439","1,432",,,99.51%,7,0.49%,"1,306",,97,29,2,5,0,0,2,3,1,
(V18) (678GC) Casa Grande,,"1,499","1,497",,,99.87%,2,0.13%,"1,385",,70,42,1,1,0,0,1,2,3,
(V18) (678GD) Safford,,242,241,,,99.59%,1,0.41%,215,,14,12,1,0,0,0,3,5,3,
(V18) (678GE) Green Valley,,288,288,,,100.00%,0,0.00%,277,,5,6,0,0,0,0,1,3,0,
"(V18) (678GF) Northwest Tucson VA
Clinic",,"1,672","1,652",,,98.80%,20,1.20%,"1,438",,127,87,19,1,0,0,4,3,2,
"(V18) (678GG) Southeast Tucson VA
Clinic",,"1,371","1,331",,,97.08%,40,2.92%,"1,138",,108,85,23,9,4,4,9,4,4.00,
"(V18) (678MA) IDES Davis-Monthan
AFB",,1,1,,,100.00%,0,0.00%,1,,0,0,0,0,0,0,,,0.00,
(V18) (678MB) IDES Fort Huachuca,,15,15,,,100.00%,0,0.00%,15,,0,0,0,0,0,0,,0,0.00,
"(V18) (756) El Paso, TX",,"21,286","20,691",,,97.20%,595,2.80%,"17,711",,"1,537","1,443",444,110,34,7,8,4,4,
(V18) (756) El Paso VA Clinic,,"17,470","16,934",,,96.93%,536,3.07%,"14,404",,"1,289","1,241",386,109,34,7,10,4,4.40,
(V18) (756GA) Las Cruces,,"1,600","1,591",,,99.44%,9,0.56%,"1,456",,76,59,9,0,0,0,2,11.00,3,
(V18) (756GB) El Paso Eastside,,"1,955","1,905",,,97.44%,50,2.56%,"1,687",,101,117,49,1,0,0,5,1.80,3,
(V18) (756MA) IDES Fort Bliss,,261,261,,,100.00%,0,0.00%,164,,71,26,0,0,0,0,,8,2,
(V19) (436) Montana HCS,,"15,501","14,330",,,92.45%,"1,171",7.55%,"12,407",,735,"1,188",709,305,108,49,7,12,4,
"(V19) (436) Fort Harrison VA Medical
Center",,"5,937","5,434",,,91.53%,503,8.47%,"4,564",,307,563,320,125,37,21,7,13,3,
(V19) (436GA) Anaconda,,200,199,,,99.50%,1,0.50%,191,,3,5,1,0,0,0,1,0.00,5.50,
(V19) (436GB) Great Falls,,"1,259","1,228",,,97.54%,31,2.46%,"1,090",,59,79,23,8,0,0,4,11,3,
(V19) (436GC) Missoula,,"1,965","1,762",,,89.67%,203,10.33%,"1,594",,58,110,103,85,10,5,11,7,10,
(V19) (436GD) Bozeman,,773,732,,,94.70%,41,5.30%,591,,54,87,24,11,6,0,6,17,1,
(V19) (436GF) Kalispell,,"1,349","1,251",,,92.74%,98,7.26%,"1,031",,83,137,51,10,34,3,10,19,3.40,
(V19) (436GH) Billings,,"3,090","2,811",,,90.97%,279,9.03%,"2,519",,135,157,175,63,21,20,6,12,3,
(V19) (436GI) Glasgow,,107,99,,,92.52%,8,7.48%,78,,7,14,8,0,0,0,8,0.00,13.60,
(V19) (436GJ) Miles City VA Clinic,,230,230,,,100.00%,0,0.00%,209,,11,10,0,0,0,0,3,0.10,1.40,
(V19) (436GK) Glendive,,111,109,,,98.20%,2,1.80%,100,,4,5,0,2,0,0,2,27.50,1,
(V19) (436GL) Cut Bank,,125,125,,,100.00%,0,0.00%,119,,4,2,0,0,0,0,1,0.00,2,
(V19) (436GM) Lewistown,,202,198,,,98.02%,4,1.98%,186,,7,5,3,1,0,0,1,14,0,
"(V19) (436HC) Merril Lundman VA
OPC",,147,146,,,99.32%,1,0.68%,130,,2,14,1,0,0,0,3,0.00,0,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V19) (436MA) IDES Malmstrom AFB,,6,6,,,100.00%,0,0.00%,5,,1,0,0,0,0,0,,2,,
"(V19) (442) Cheyenne, WY",,"12,458","11,695",,,93.88%,763,6.12%,"10,256",,641,798,582,150,18,13,3,8,5,
"(V19) (442) Cheyenne VA Medical
Center",,"7,558","7,148",,,94.58%,410,5.42%,"6,204",,421,523,309,78,13,10,4.90,7,4,
(V19) (442GB) Sidney,,149,147,,,98.66%,2,1.34%,139,,3,5,2,0,0,0,1,6,5,
(V19) (442GC) Fort Collins,,"2,386","2,160",,,90.53%,226,9.47%,"1,897",,105,158,181,41,3,1,4,12,6,
(V19) (442GD) Greeley,,"2,072","1,953",,,94.26%,119,5.74%,"1,745",,108,100,85,30,2,2,1,9,5,
"(V19) (442HK) Wheatland VA Mobile
Clinic",,178,174,,,97.75%,4,2.25%,169,,1,4,3,1,0,0,1,,4,
(V19) (442QA) Rawlins,,58,57,,,98.28%,1,1.72%,51,,1,5,1,0,0,0,3,2,0.00,
"(V19) (442QB) Torrington VA Mobile
Clinic",,57,56,,,98.25%,1,1.75%,51,,2,3,1,0,0,0,2,,12.00,
"(V19) (554) Denver, CO",,"50,440","46,024",,,91.25%,"4,416",8.75%,"38,386",,"3,320","4,318","2,804","1,085",338,189,11,11,5,
"(V19) (554) Denver VA Medical
Center",,"26,893","24,606",,,91.50%,"2,287",8.50%,"20,209",,"1,861","2,536","1,667",404,119,97,9.30,10,5,
(V19) (554GB) Aurora,,"1,727","1,611",,,93.28%,116,6.72%,"1,395",,105,111,41,25,50,0,9,4,5,
(V19) (554GC) Golden,,"4,816","4,635",,,96.24%,181,3.76%,"3,902",,310,423,175,6,0,0,7,7.50,0.60,
