facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(1V04) (529GD) Clarion County, PA",223,223,100.00%,0,0.00%,221,2,0,0,0,0,0,0.29,1.82,1.18,,
"(1V04) (529GF) Cranberry Township, PA",455,454,99.78%,1,0.22%,450,2,2,0,1,0,0,0.29,2.57,1.04,,
"(1V04) (542) Coatesville, PA HCS","12,124","11,858",97.81%,266,2.19%,"11,128",385,345,136,40,20,70,1.39,15.27,3.25,,
"(1V04) (542) Coatesville, PA","10,585","10,340",97.69%,245,2.31%,"9,723",326,291,127,35,18,65,1.15,14.98,3.38,,
"(1V04) (542BU) Coatesville, PA - VADOM",323,321,99.38%,2,0.62%,307,13,1,0,0,0,2,,,0.56,,
"(1V04) (542GA) Delaware County, PA",763,747,97.90%,16,2.10%,683,30,34,8,5,2,1,1.99,83.17,3.99,,
"(1V04) (542GE) Spring City, PA",453,450,99.34%,3,0.66%,415,16,19,1,0,0,2,4.97,,2.35,,
"(1V04) (562) Erie, PA HCS","15,107","14,469",95.78%,638,4.22%,"13,402",571,496,346,105,63,124,2.44,17.72,1.77,,
"(1V04) (562GB) Ashtabula County, OH",51,51,100.00%,0,0.00%,51,0,0,0,0,0,0,2.47,18.03,1.64,,
"(1V04) (562) Erie, PA","10,825","10,285",95.01%,540,4.99%,"9,496",414,375,297,79,51,113,2.47,18.03,1.64,,
"(1V04) (562GA) Crawford County, PA","1,214","1,187",97.78%,27,2.22%,"1,086",62,39,9,8,3,7,3.05,8.35,1.99,,
"(1V04) (562GB) Ashtabula County, OH",740,730,98.65%,10,1.35%,689,16,25,7,2,1,0,1.13,2.30,1.34,,
"(1V04) (562GC) McKean County, PA",307,302,98.37%,5,1.63%,284,15,3,3,2,0,0,1.67,6.29,,,
"(1V04) (562GD) Venango County, PA",881,866,98.30%,15,1.70%,792,44,30,10,3,1,1,2.58,6.09,5.13,,
"(1V04) (562GE) Warren County, PA","1,089","1,048",96.24%,41,3.76%,"1,004",20,24,20,11,7,3,2.47,26.79,0.51,,
"(1V04) (595) Lebanon, PA HCS","32,600","31,269",95.92%,"1,331",4.08%,"28,370","1,542","1,357",680,227,138,286,1.78,11.38,4.36,,
"(1V04) (595) Lebanon, PA","22,782","21,829",95.82%,953,4.18%,"19,994",961,874,461,174,110,208,1.34,11.52,3.85,,
"(1V04) (595GA) Cumberland County, PA","3,878","3,708",95.62%,170,4.38%,"3,266",233,209,122,15,9,24,2.15,12.89,6.42,,
"(1V04) (595GC) Lancaster County, PA","1,532","1,480",96.61%,52,3.39%,"1,252",150,78,27,9,2,14,3.50,13.19,3.18,,
"(1V04) (595GD) Berks County, PA","1,709","1,689",98.83%,20,1.17%,"1,610",50,29,8,1,3,8,1.94,4.00,1.92,,
"(1V04) (595GE) York, PA","2,219","2,105",94.86%,114,5.14%,"1,838",129,138,53,25,11,25,4.79,6.79,4.02,,
"(1V04) (595GF) Schuylkill County, PA",479,457,95.41%,22,4.59%,409,19,29,9,3,3,7,2.04,,0.70,,
"(1V04) (595PA) Lebanon, PA - PRRTP",1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,,,
"(1V04) (642) Philadelphia, PA HCS","39,322","37,950",96.51%,"1,372",3.49%,"34,974","1,350","1,626",732,307,151,182,4.73,3.73,1.53,,
"(1V04) (642GC) Horsham, PA (Victor J. Saracini)",285,285,100.00%,0,0.00%,285,0,0,0,0,0,0,4.53,3.63,1.77,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(1V04) (642) Philadelphia, PA (Corporal Michael J. Crescenz)","32,716","31,461",96.16%,"1,255",3.84%,"28,934","1,091","1,436",673,293,140,149,4.53,3.63,1.77,,
"(1V04) (642GA) Burlington County, NJ","2,147","2,099",97.76%,48,2.24%,"2,030",50,19,17,4,5,22,4.01,5.11,0.59,,
"(1V04) (642GC) Horsham, PA (Victor J. Saracini)","1,702","1,656",97.30%,46,2.70%,"1,462",100,94,26,5,5,10,6.48,6.17,0.81,,
"(1V04) (642GD) Gloucester County, NJ","1,387","1,367",98.56%,20,1.44%,"1,250",66,51,13,5,1,1,4.36,2.13,1.37,,
"(1V04) (642GF) Camden, NJ",250,249,99.60%,1,0.40%,224,21,4,1,0,0,0,3.43,1.00,0.15,,
"(1V04) (642GH) West Philadelphia, PA",325,323,99.38%,2,0.62%,285,16,22,2,0,0,0,4.88,,2.46,,
"(1V04) (642QA) Chestnut Street, PA",510,510,100.00%,0,0.00%,504,6,0,0,0,0,0,,,,,
"(1V04) (646) Pittsburgh, PA HCS","45,506","43,585",95.78%,"1,921",4.22%,"38,488","2,507","2,590","1,013",387,178,343,2.53,12.09,3.07,,
"(1V04) (646) Pittsburgh, PA","28,083","26,810",95.47%,"1,273",4.53%,"23,628","1,543","1,639",623,261,133,256,2.37,12.21,2.86,,
"(1V04) (646A4) Heinz, PA (H. John
Heinz III)","6,275","5,833",92.96%,442,7.04%,"5,006",361,466,256,92,31,63,3.09,16.12,2.16,,
"(1V04) (646GA) Belmont County, OH","1,798","1,771",98.50%,27,1.50%,"1,631",78,62,24,0,2,1,2.39,2.79,3.77,,
"(1V04) (646GB) Westmoreland County, PA","1,903","1,885",99.05%,18,0.95%,"1,535",187,163,15,2,1,0,4.38,4.90,2.38,,
"(1V04) (646GC) Beaver County, PA","2,278","2,230",97.89%,48,2.11%,"2,074",93,63,27,7,5,9,2.51,9.71,8.50,,
"(1V04) (646GD) Washington County, PA","2,318","2,230",96.20%,88,3.80%,"2,002",117,111,50,21,6,11,3.39,11.45,4.46,,
"(1V04) (646GE) Fayette County, PA","2,851","2,826",99.12%,25,0.88%,"2,612",128,86,18,4,0,3,1.08,6.62,4.79,,
"(1V04) (693) Wilkes-Barre, PA HCS","22,251","21,480",96.53%,771,3.47%,"19,800",874,806,378,187,65,141,1.79,10.37,3.85,,
"(1V04) (693) Wilkes-Barre, PA","15,835","15,279",96.49%,556,3.51%,"14,053",632,594,288,123,48,97,1.14,9.76,2.67,,
"(1V04) (693B4) Allentown, PA","3,474","3,324",95.68%,150,4.32%,"3,110",102,112,57,60,15,18,3.22,5.43,6.81,,
"(1V04) (693GA) Sayre, PA",893,850,95.18%,43,4.82%,788,27,35,14,3,1,25,2.55,43.99,1.10,,
"(1V04) (693GB) Williamsport, PA","1,348","1,340",99.41%,8,0.59%,"1,238",68,34,7,0,1,0,1.18,7.69,2.50,,
"(1V04) (693GC) Tobyhanna, PA",96,95,98.96%,1,1.04%,84,8,3,0,0,0,1,3.83,0.00,,,
"(1V04) (693GF) Columbia County, PA",369,358,97.02%,11,2.98%,322,20,16,10,1,0,0,3.25,,,,
"(1V04) (693GG) Northampton County, PA",143,142,99.30%,1,0.70%,135,5,2,1,0,0,0,1.59,,,,
"(1V04) (693QA) Wayne County, PA",93,92,98.92%,1,1.08%,70,12,10,1,0,0,0,4.84,,,,
"(1V05) (540) Clarksburg, WV HCS","17,035","16,579",97.32%,456,2.68%,"15,448",548,583,270,87,54,45,3.93,3.67,3.99,,
"(1V05) (540) Clarksburg, WV (Louis A. Johnson)","14,428","14,022",97.19%,406,2.81%,"13,078",470,474,240,80,47,39,3.92,3.67,3.14,,
"(1V05) (540BU) Clarksburg, WV - VADOM",23,23,100.00%,0,0.00%,23,0,0,0,0,0,0,,,,,
"(1V05) (540GA) Tucker County, WV",173,167,96.53%,6,3.47%,135,17,15,5,0,0,1,4.66,,54.67,,
"(1V05) (540GB) Wood County, WV","1,085","1,057",97.42%,28,2.58%,974,32,51,13,5,5,5,5.01,3.02,7.83,,
"(1V05) (540GC) Braxton County, WV",360,355,98.61%,5,1.39%,335,7,13,4,0,1,0,2.10,,2.70,,
"(1V05) (540GD) Monongalia County, WV",942,931,98.83%,11,1.17%,882,22,27,8,2,1,0,0.93,4.18,2.13,,
"(1V05) (540HK) Clarksburg, WV - Mobile",24,24,100.00%,0,0.00%,21,0,3,0,0,0,0,,,,,
"(1V05) (512) Baltimore, MD HCS","38,484","36,491",94.82%,"1,993",5.18%,"31,802","1,780","2,909","1,033",412,203,345,1.77,6.40,8.03,,
"(1V05) (512) Baltimore, MD","21,882","20,242",92.51%,"1,640",7.49%,"17,318","1,073","1,851",845,340,169,286,4.10,7.23,13.09,,
(1V05) (512PA) 512PA,27,15,55.56%,12,44.44%,5,1,9,12,0,0,0,4.10,7.23,13.09,,
"(1V05) (512A5) Perry Point, MD","4,737","4,599",97.09%,138,2.91%,"4,068",279,252,57,27,16,38,0.89,7.86,3.90,,
"(1V05) (512GA) Cambridge, MD","2,819","2,795",99.15%,24,0.85%,"2,531",40,224,10,8,1,5,2.73,3.98,0.00,,
"(1V05) (512GC) Glen Burnie, MD","2,102","2,064",98.19%,38,1.81%,"1,760",115,189,20,7,7,4,1.68,4.50,0.00,,
"(1V05) (512GD) Loch Raven, MD","2,776","2,682",96.61%,94,3.39%,"2,331",141,210,66,18,6,4,1.03,6.01,0.82,,
"(1V05) (512GE) Pocomoke City, MD",575,575,100.00%,0,0.00%,522,17,36,0,0,0,0,1.66,3.20,0.00,,
"(1V05) (512GF) Eastern Baltimore County, MD","1,334","1,327",99.48%,7,0.52%,"1,225",39,63,4,2,0,1,0.50,2.80,2.35,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(1V05) (512GG) Fort Meade, MD","1,658","1,648",99.40%,10,0.60%,"1,527",69,52,3,2,2,3,0.53,2.42,0.01,,
(1V05) (512PA) 512PA,22,20,90.91%,2,9.09%,11,0,9,2,0,0,0,,,,,
"(1V05) (512QA) Baltimore West Fayette Street, MD",552,524,94.93%,28,5.07%,504,6,14,14,8,2,4,,,7.04,,
"(1V05) (613) Martinsburg, WV HCS","27,472","26,350",95.92%,"1,122",4.08%,"24,085","1,118","1,147",628,146,67,281,1.98,6.16,7.18,,
"(1V05) (613) Martinsburg, WV","20,204","19,271",95.38%,933,4.62%,"17,631",791,849,509,122,56,246,3.50,5.97,7.60,,
"(1V05) (613BU) Martinsburg, WV - VADOM",89,88,98.88%,1,1.12%,84,1,3,0,0,1,0,,,0.00,,
"(1V05) (613GA) Cumberland, MD","1,369","1,306",95.40%,63,4.60%,"1,198",56,52,45,1,0,17,1.25,27.66,2.98,,
"(1V05) (613GB) Hagerstown, MD","1,071","1,053",98.32%,18,1.68%,965,49,39,11,3,0,4,1.96,28.73,6.41,,
"(1V05) (613GC) Stephens City, VA","1,512","1,481",97.95%,31,2.05%,"1,390",48,43,25,3,1,2,1.79,7.86,3.74,,
"(1V05) (613GD) Franklin, WV",191,178,93.19%,13,6.81%,106,17,55,6,2,3,2,2.00,,0.00,,
"(1V05) (613GE) Petersburg, WV",452,449,99.34%,3,0.66%,428,13,8,2,1,0,0,0.30,0.00,4.71,,
"(1V05) (613GF) Harrisonburg, VA","1,089","1,077",98.90%,12,1.10%,987,64,26,9,1,0,2,1.90,3.33,5.09,,
"(1V05) (613GG) Fort Detrick, MD","1,495","1,447",96.79%,48,3.21%,"1,296",79,72,21,13,6,8,1.53,4.46,11.64,,
"(1V05) (688) Washington, DC HCS","51,426","50,081",97.38%,"1,345",2.62%,"47,773","1,001","1,307",772,298,120,155,1.51,3.88,2.05,,
"(1V05) (688) Washington, DC","45,524","44,273",97.25%,"1,251",2.75%,"42,193",899,"1,181",711,274,113,153,1.04,3.86,2.35,,
"(1V05) (688GD) Charlotte Hall, MD",51,51,100.00%,0,0.00%,51,0,0,0,0,0,0,1.04,3.86,2.35,,
"(1V05) (688GA) Fort Belvoir, VA","1,832","1,817",99.18%,15,0.82%,"1,765",22,30,12,1,1,1,2.60,1.38,0.70,,
"(1V05) (688GB) Southeast Washington, DC",110,110,100.00%,0,0.00%,109,1,0,0,0,0,0,0.40,,0.00,,
"(1V05) (688GD) Charlotte Hall, MD",832,818,98.32%,14,1.68%,783,12,23,9,4,1,0,2.53,6.45,0.10,,
"(1V05) (688GE) Southern Prince Georges County, MD","1,574","1,542",97.97%,32,2.03%,"1,466",26,50,23,8,1,0,2.85,11.79,0.93,,
"(1V05) (688GF) Montgomery County, MD",811,779,96.05%,32,3.95%,724,33,22,17,11,3,1,0.85,4.29,5.55,,
"(1V05) (688GG) Lexington Park, MD",643,642,99.84%,1,0.16%,635,6,1,0,0,1,0,0.21,0.00,0.05,,
"(1V05) (688QA) Franklin Street, DC",49,49,100.00%,0,0.00%,47,2,0,0,0,0,0,,,0.00,,
"(1V05) (517) Beckley, WV HCS","11,780","11,286",95.81%,494,4.19%,"10,560",322,404,249,115,37,93,0.60,14.09,2.43,,
"(1V05) (517) Beckley, WV","10,241","9,757",95.27%,484,4.73%,"9,087",290,380,240,114,37,93,0.47,14.16,2.23,,
"(1V05) (517GB) Greenbrier County, WV","1,153","1,153",100.00%,0,0.00%,"1,124",20,9,0,0,0,0,0.67,0.00,1.14,,
"(1V05) (517QA) Princeton, WV",386,376,97.41%,10,2.59%,349,12,15,9,1,0,0,5.08,1.00,8.76,,
"(1V05) (581) Huntington, WV HCS","19,945","19,346",97.00%,599,3.00%,"17,899",771,676,323,94,37,145,1.41,11.16,2.07,,
"(1V05) (581) Huntington, WV (Hershel ""Woody"" Williams)","15,830","15,284",96.55%,546,3.45%,"14,135",597,552,287,88,35,136,1.26,11.79,2.08,,
"(1V05) (581GA) Prestonsburg, KY",957,941,98.33%,16,1.67%,889,40,12,14,1,0,1,1.48,0.21,2.72,,
"(1V05) (581GB) Charleston, WV","2,807","2,772",98.75%,35,1.25%,"2,533",133,106,21,5,2,7,2.09,5.60,1.72,,
"(1V05) (581GG) Gallipolis, OH",242,241,99.59%,1,0.41%,237,0,4,1,0,0,0,0.84,0.00,0.00,,
"(1V05) (581GH) Lenore, WV",107,106,99.07%,1,0.93%,103,1,2,0,0,0,1,24.40,2.17,,,
"(1V05) (581QA) Huntington Ninth Street, WV",2,2,100.00%,0,0.00%,2,0,0,0,0,0,0,0.00,,,,
"(1V06) (558) Durham, NC HCS","53,462","49,837",93.22%,"3,625",6.78%,"44,770","2,361","2,706","1,811",801,406,607,6.89,5.72,7.20,,
"(1V06) (558GF) Wake County, NC",6,6,100.00%,0,0.00%,6,0,0,0,0,0,0,6.62,5.56,7.24,,
"(1V06) (558) Durham, NC","31,406","29,090",92.63%,"2,316",7.37%,"26,101","1,397","1,592","1,119",512,255,430,6.62,5.56,7.24,,
"(1V06) (558GA) Greenville, NC","10,213","9,535",93.36%,678,6.64%,"8,638",414,483,330,157,84,107,7.74,7.58,4.96,,
"(1V06) (558GB) Raleigh, NC","1,953","1,862",95.34%,91,4.66%,"1,572",144,146,62,14,7,8,7.51,5.15,3.98,,
"(1V06) (558GC) Morehead City, NC","1,666","1,538",92.32%,128,7.68%,"1,268",104,166,81,26,9,12,6.55,1.54,14.86,,
"(1V06) (558GD) Durham County, NC","1,370","1,327",96.86%,43,3.14%,"1,227",38,62,27,8,5,3,,,3.48,,
"(1V06) (558GE) Hillandale Road, NC","1,835","1,762",96.02%,73,3.98%,"1,589",84,89,52,13,5,3,4.70,,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(1V06) (558GF) Wake County, NC","1,558","1,392",89.35%,166,10.65%,"1,298",36,58,76,51,18,21,,,15.81,,
"(1V06) (558GG) Raleigh-Atlantic Avenue, NC","2,438","2,375",97.42%,63,2.58%,"2,237",81,57,34,13,8,8,6.54,1.84,1.67,,
"(1V06) (558GH) Clayton-East Raleigh, NC",791,732,92.54%,59,7.46%,643,45,44,25,7,14,13,8.17,8.67,2.12,,
"(1V06) (558QA) Brier Creek, NC",226,218,96.46%,8,3.54%,191,18,9,5,0,1,2,,6.64,,,
"(1V06) (565) Fayetteville, NC HCS","52,567","48,456",92.18%,"4,111",7.82%,"44,154","1,995","2,307","1,741",873,421,"1,076",1.42,22.11,1.10,,
"(1V06) (565) Fayetteville, NC","11,931","11,435",95.84%,496,4.16%,"10,743",277,415,193,45,24,234,0.15,19.54,0.52,,
"(1V06) (565GA) Jacksonville, NC","2,531","2,498",98.70%,33,1.30%,"2,377",75,46,20,3,1,9,0.49,10.76,0.23,,
"(1V06) (565GC) Wilmington, NC","9,720","9,146",94.09%,574,5.91%,"8,368",356,422,295,113,39,127,0.89,15.94,0.94,,
"(1V06) (565GD) Hamlet, NC",686,666,97.08%,20,2.92%,577,54,35,8,3,4,5,1.73,14.00,4.64,,
"(1V06) (565GE) Robeson County, NC",969,944,97.42%,25,2.58%,843,48,53,20,3,2,0,2.73,0.00,0.44,,
"(1V06) (565GF) Goldsboro, NC","1,108","1,072",96.75%,36,3.25%,"1,011",30,31,22,6,2,6,1.23,7.67,3.38,,
"(1V06) (565GG) Lee County, NC","1,062","1,036",97.55%,26,2.45%,913,65,58,16,3,0,7,1.99,1.75,1.72,,
"(1V06) (565GH) Brunswick County, NC",531,518,97.55%,13,2.45%,473,24,21,11,1,0,1,3.08,5.83,0.20,,
"(1V06) (565GJ) Jacksonville 2, NC",36,36,100.00%,0,0.00%,35,1,0,0,0,0,0,,,,,
"(1V06) (565GL) Cumberland County, NC","21,859","19,113",87.44%,"2,746",12.56%,"16,992",972,"1,149","1,093",644,339,670,2.40,26.53,1.46,,
"(1V06) (565GM) Jacksonville 3, NC",699,672,96.14%,27,3.86%,634,26,12,13,12,2,0,,,3.70,,
"(1V06) (565GN) Jacksonville 4, NC",20,18,90.00%,2,10.00%,7,3,8,2,0,0,0,,,14.40,,
"(1V06) (565QA) Robeson Street, NC",849,839,98.82%,10,1.18%,830,4,5,6,1,2,1,,43.05,,,
"(1V06) (565QD) Raeford Road, NC",566,463,81.80%,103,18.20%,351,60,52,42,39,6,16,,18.09,,,
"(1V06) (590) Hampton, VA HCS","31,596","29,747",94.15%,"1,849",5.85%,"27,099","1,225","1,423",976,413,208,252,3.64,15.02,4.28,,
"(1V06) (590) Hampton, VA","26,043","24,552",94.27%,"1,491",5.73%,"22,448",950,"1,154",784,345,170,192,2.56,15.29,3.39,,
"(1V06) (590BU) Hampton, VA - VADOM",28,28,100.00%,0,0.00%,28,0,0,0,0,0,0,,,,,
"(1V06) (590GB) Virginia Beach, VA","2,016","1,816",90.08%,200,9.92%,"1,617",107,92,71,42,33,54,15.85,17.07,7.49,,
"(1V06) (590GC) Albemarle, NC",615,587,95.45%,28,4.55%,498,34,55,24,4,0,0,3.38,6.00,4.58,,
"(1V06) (590GD) Chesapeake, VA","2,084","2,010",96.45%,74,3.55%,"1,842",92,76,57,9,3,5,2.87,7.57,3.20,,
"(1V06) (590GE) Portsmouth, VA",810,754,93.09%,56,6.91%,666,42,46,40,13,2,1,10.13,,5.91,,
"(1V06) (637) Asheville, NC HCS","28,336","26,342",92.96%,"1,994",7.04%,"22,761","1,737","1,844","1,188",392,120,294,2.09,12.50,5.06,,
"(1V06) (637) Asheville, NC (Charles George)","22,693","21,071",92.85%,"1,622",7.15%,"18,265","1,354","1,452",997,308,83,234,0.67,12.82,4.53,,
"(1V06) (637BU) Asheville, NC - VADOM",3,3,100.00%,0,0.00%,3,0,0,0,0,0,0,,,,,
"(1V06) (637GA) Franklin, NC","1,358","1,243",91.53%,115,8.47%,"1,073",74,96,54,31,19,11,6.46,16.60,10.22,,
"(1V06) (637GB) Rutherford County, NC","1,303","1,227",94.17%,76,5.83%,"1,079",88,60,27,18,13,18,7.67,8.40,4.61,,
"(1V06) (637GC) Hickory, NC","2,979","2,798",93.92%,181,6.08%,"2,341",221,236,110,35,5,31,5.38,8.09,6.48,,
"(1V06) (652) Richmond, VA HCS","52,891","50,053",94.63%,"2,838",5.37%,"44,947","2,553","2,553","1,458",558,329,493,3.59,11.34,5.25,,
"(1V06) (652) Richmond, VA (Hunter Holmes McGuire)","44,841","42,233",94.18%,"2,608",5.82%,"37,776","2,192","2,265","1,332",518,302,456,3.70,11.50,6.38,,
"(1V06) (652GA) Fredericksburg, VA","2,906","2,850",98.07%,56,1.93%,"2,687",94,69,45,2,6,3,2.82,7.61,0.61,,
"(1V06) (652GB) Fredericksburg 2, VA","1,762","1,733",98.35%,29,1.65%,"1,525",121,87,18,7,3,1,3.12,2.79,3.14,,
"(1V06) (652GC) Henrico County, VA",446,409,91.70%,37,8.30%,347,33,29,17,9,5,6,13.31,4.48,0.67,,
"(1V06) (652GE) Charlottesville, VA","2,158","2,068",95.83%,90,4.17%,"1,921",73,74,37,20,12,21,2.43,13.85,5.30,,
"(1V06) (652GF) Emporia, VA",778,760,97.69%,18,2.31%,691,40,29,9,2,1,6,1.02,7.46,0.41,,
"(1V06) (658) Salem, VA HCS","26,454","24,786",93.69%,"1,668",6.31%,"21,907","1,355","1,524",965,341,142,220,4.26,13.20,3.38,,
"(1V06) (658) Salem, VA","22,350","20,780",92.98%,"1,570",7.02%,"18,290","1,147","1,343",892,325,136,217,4.68,13.49,2.58,,
"(1V06) (658BU) Salem, VA - VADOM",21,21,100.00%,0,0.00%,18,3,0,0,0,0,0,,,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(1V06) (658GA) Tazewell, VA",332,326,98.19%,6,1.81%,314,7,5,5,0,1,0,2.49,,0.55,,
"(1V06) (658GB) Danville, VA",974,925,94.97%,49,5.03%,817,43,65,41,4,1,3,5.72,4.19,6.13,,
"(1V06) (658GC) Lynchburg, VA","1,155","1,137",98.44%,18,1.56%,"1,006",79,52,9,5,4,0,2.08,0.06,3.76,,
"(1V06) (658GD) Staunton, VA",752,750,99.73%,2,0.27%,711,29,10,2,0,0,0,2.04,0.90,0.53,,
"(1V06) (658GE) Wytheville, VA",870,847,97.36%,23,2.64%,751,47,49,16,7,0,0,2.13,0.31,10.78,,
"(1V06) (659) Salisbury, NC HCS","68,610","62,743",91.45%,"5,867",8.55%,"53,035","4,616","5,092","2,854","1,280",599,"1,134",4.56,17.61,7.84,,
"(1V06) (659) Salisbury, NC (W.G.
(Bill) Hefner Salisbury)","25,486","23,948",93.97%,"1,538",6.03%,"20,816","1,620","1,512",763,322,192,261,3.60,10.74,5.07,,
"(1V06) (659BY) Kernersville, NC","19,603","17,110",87.28%,"2,493",12.72%,"14,134","1,252","1,724","1,105",596,282,510,7.19,24.98,13.54,,
"(1V06) (659BZ) South Charlotte, NC","19,757","18,108",91.65%,"1,649",8.35%,"15,220","1,375","1,513",868,339,119,323,3.28,18.81,6.82,,
"(1V06) (659GA) North Charlotte, NC","3,764","3,577",95.03%,187,4.97%,"2,865",369,343,118,23,6,40,2.79,17.43,4.99,,
"(2V07) (508) Atlanta, GA HCS","68,288","63,656",93.22%,"4,632",6.78%,"56,932","2,814","3,910","2,693",836,554,549,3.82,9.51,2.67,,
"(2V07) (508) Atlanta, GA","29,226","26,544",90.82%,"2,682",9.18%,"23,240","1,242","2,062","1,526",531,327,298,5.10,9.97,1.44,,
"(2V07) (508GA) Fort McPherson, GA","6,334","5,979",94.40%,355,5.60%,"5,516",202,261,199,45,47,64,4.87,23.25,6.72,,
"(2V07) (508GE) Oakwood, GA","2,461","2,418",98.25%,43,1.75%,"2,270",87,61,22,6,11,4,1.67,5.62,0.52,,
"(2V07) (508GF) West Cobb County, GA","1,550","1,504",97.03%,46,2.97%,"1,384",55,65,18,11,11,6,3.65,4.66,0.24,,
"(2V07) (508GG) Stockbridge, GA","1,828","1,738",95.08%,90,4.92%,"1,591",67,80,51,5,7,27,6.86,10.73,1.42,,
"(2V07) (508GH) Lawrenceville, GA","2,269","2,244",98.90%,25,1.10%,"2,107",76,61,14,6,1,4,2.52,4.60,1.71,,
"(2V07) (508GI) Newnan, GA","1,500","1,451",96.73%,49,3.27%,"1,341",64,46,34,9,4,2,3.55,0.52,0.53,,
"(2V07) (508GJ) Blairsville, GA","1,084","1,055",97.32%,29,2.68%,917,68,70,20,3,4,2,6.34,5.61,1.81,,
"(2V07) (508GK) Carrollton, GA (Trinka Davis Village)","2,312","2,196",94.98%,116,5.02%,"1,955",119,122,100,12,2,2,3.18,8.02,2.26,,
"(2V07) (508GL) Rome, GA",837,828,98.92%,9,1.08%,769,28,31,6,2,0,1,3.48,2.26,0.75,,
"(2V07) (508GM) Pickens County, GA",667,627,94.00%,40,6.00%,542,52,33,30,6,1,3,3.09,10.43,1.80,,
"(2V07) (508GN) Covington, GA",945,932,98.62%,13,1.38%,852,45,35,11,1,0,1,2.99,0.21,1.39,,
"(2V07) (508GO) Northeast Cobb County, GA","1,045",998,95.50%,47,4.50%,881,57,60,30,4,3,10,3.72,3.46,0.00,,
"(2V07) (508GP) South Cobb County, GA","1,289","1,276",98.99%,13,1.01%,"1,192",50,34,11,1,1,0,,,2.16,,
"(2V07) (508QC) Henderson Mill, GA","2,081","2,037",97.89%,44,2.11%,"1,984",13,40,33,9,2,0,,,1.98,,
"(2V07) (508QD) Fulton County, GA",1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,0.00,,,
"(2V07) (508QE) Gwinnett County, GA","1,605","1,506",93.83%,99,6.17%,"1,364",49,93,68,21,8,2,5.36,0.48,6.74,,
"(2V07) (508QF) Atlanta North Arcadia Avenue, GA","9,426","8,615",91.40%,811,8.60%,"7,520",453,642,417,152,122,120,2.30,10.55,0.94,,
"(2V07) (508QH) South Fulton County, GA",957,884,92.37%,73,7.63%,808,25,51,65,6,1,1,,,4.39,,
"(2V07) (508QI) North DeKalb County, GA",116,100,86.21%,16,13.79%,84,7,9,14,2,0,0,,13.04,,,
