facility,,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(1V02) (630A5) St. Albans, NY",,"3,039",,"2,984",,98.19%,,55,,1.81%,,"2,614",,224,,146,,43,,12,,0,,0,,5.08,,3.85,,0.43,,,
(1V02) (630BU) Brooklyn Psychosocial Residential Rehabilitation Treatment Program,,61,,61,,100.00%,,0,,0.00%,,61,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(1V02) (630BV) Brooklyn, NY - VADOM",,28,,28,,100.00%,,0,,0.00%,,28,,0,,0,,0,,0,,0,,0,,,,,,,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(1V02) (630GA) Harlem, NY",,93,,93,,100.00%,,0,,0.00%,,93,,0,,0,,0,,0,,0,,0,,0.02,,0,,0,,,
"(1V02) (630GB) Staten Island, NY",,894,,872,,97.54%,,22,,2.46%,,797,,52,,23,,22,,0,,0,,0,,2.54,,5.77,,1.33,,,
"(1V02) (632) Northport, NY HCS",,"25,175",,"24,180",,96.05%,,995,,3.95%,,"21,177",,"1,368",,"1,635",,673,,185,,53,,84,,4.63,,7.17,,2.7,,,
"(1V02) (632) Northport, NY",,"21,070",,"20,145",,95.61%,,925,,4.39%,,"17,572",,"1,141",,"1,432",,615,,179,,47,,84,,6.99,,7.3,,2.44,,,
"(1V02) (632BU) Northport, NY - VADOM",,83,,83,,100.00%,,0,,0.00%,,83,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(1V02) (632GA) East Meadow, NY",,"1,228",,"1,204",,98.05%,,24,,1.95%,,"1,034",,92,,78,,17,,5,,2,,0,,2.62,,9.55,,5.01,,,
"(1V02) (632HA) Valley Stream, NY",,308,,304,,98.70%,,4,,1.30%,,271,,16,,17,,3,,0,,1,,0,,2.94,,0,,2.8,,,
"(1V02) (632HB) Riverhead, NY",,"1,058",,"1,048",,99.05%,,10,,0.95%,,963,,47,,38,,8,,1,,1,,0,,1.15,,3.46,,1.53,,,
"(1V02) (632HC) Bay Shore, NY",,416,,401,,96.39%,,15,,3.61%,,368,,18,,15,,14,,0,,1,,0,,3.94,,,,3.21,,,
"(1V02) (632HD) Patchogue, NY",,885,,875,,98.87%,,10,,1.13%,,798,,42,,35,,10,,0,,0,,0,,2.03,,4.65,,3.87,,,
"(1V02) (632QA) Northport 1, NY - Mobile",,97,,96,,98.97%,,1,,1.03%,,76,,7,,13,,1,,0,,0,,0,,,,4.37,,,,,
"(1V02) (632QB) Northport 2, NY - Mobile",,30,,24,,80.00%,,6,,20.00%,,12,,5,,7,,5,,0,,1,,0,,11,,20.24,,,,,
"(1V04) (460) Wilmington, DE HCS",,"17,944",,"17,150",,95.58%,,794,,4.42%,,"14,960",,"1,113",,"1,077",,536,,155,,44,,59,,4.27,,8.3,,3.63,,,
"(1V04) (460) Wilmington, DE",,"11,691",,"11,036",,94.40%,,655,,5.60%,,"9,604",,708,,724,,443,,126,,34,,52,,5.94,,8.83,,2.58,,,
"(1V04) (460GA) Sussex County, DE",,"1,551",,"1,519",,97.94%,,32,,2.06%,,"1,331",,104,,84,,22,,8,,0,,2,,3.94,,5.01,,3.94,,,
"(1V04) (460GC) Kent County, DE",,"1,552",,"1,500",,96.65%,,52,,3.35%,,"1,363",,66,,71,,28,,15,,6,,3,,2.35,,7.47,,6.16,,,
"(1V04) (460GD) Cape May County, NJ",,435,,434,,99.77%,,1,,0.23%,,396,,20,,18,,1,,0,,0,,0,,1.52,,4.66,,2.57,,,
"(1V04) (460HE) Atlantic County, NJ",,"1,374",,"1,332",,96.94%,,42,,3.06%,,"1,089",,130,,113,,31,,6,,3,,2,,4.03,,7.96,,5.58,,,
"(1V04) (460HG) Cumberland County, NJ",,"1,341",,"1,329",,99.11%,,12,,0.89%,,"1,177",,85,,67,,11,,0,,1,,0,,2.39,,3.75,,2.15,,,
"(1V04) (503) Altoona, PA HCS",,"15,934",,"15,563",,97.67%,,371,,2.33%,,"13,768",,987,,808,,279,,67,,18,,7,,1.88,,5.45,,4.9,,,
"(1V04) (503) Altoona, PA (James E. Van Zandt)",,"9,191",,"8,920",,97.05%,,271,,2.95%,,"7,893",,580,,447,,205,,53,,8,,5,,1.27,,5.58,,3.03,,,
"(1V04) (503GA) Johnstown, PA",,"2,040",,"2,009",,98.48%,,31,,1.52%,,"1,865",,81,,63,,21,,8,,2,,0,,1.51,,3.97,,3.55,,,
"(1V04) (503GB) DuBois, PA",,"2,165",,"2,127",,98.24%,,38,,1.76%,,"1,735",,180,,212,,30,,1,,7,,0,,3.42,,7.8,,3.66,,,
"(1V04) (503GC) State College, PA",,"1,837",,"1,810",,98.53%,,27,,1.47%,,"1,651",,106,,53,,21,,4,,1,,1,,1.98,,3.26,,3.95,,,
"(1V04) (503GD) Huntingdon County, PA",,344,,341,,99.13%,,3,,0.87%,,299,,22,,20,,1,,1,,0,,1,,2.16,,3,,77.14,,,
"(1V04) (503GE) Indiana County, PA",,357,,356,,99.72%,,1,,0.28%,,325,,18,,13,,1,,0,,0,,0,,0.9,,4.38,,2.42,,,
"(1V04) (529) Butler, PA HCS",,"8,651",,"8,550",,98.83%,,101,,1.17%,,"7,893",,291,,366,,90,,10,,1,,0,,0.43,,2.55,,3.9,,,
"(1V04) (529) Duffy Road, PA (Abie Abraham)",,"6,219",,"6,124",,98.47%,,95,,1.53%,,"5,531",,255,,338,,85,,9,,1,,0,,0.62,,2.63,,4.23,,,
"(1V04) (529A4) New Castle Road, PA (Butler)",,202,,202,,100.00%,,0,,0.00%,,202,,0,,0,,0,,0,,0,,0,,,,,,0,,,
"(1V04) (529GA) Hermitage, PA (Michael A. Marzano)",,749,,746,,99.60%,,3,,0.40%,,719,,13,,14,,2,,1,,0,,0,,0.62,,0.72,,3.84,,,
"(1V04) (529GB) Lawrence County, PA",,378,,378,,100.00%,,0,,0.00%,,370,,4,,4,,0,,0,,0,,0,,0.06,,1.53,,1.73,,,
"(1V04) (529GC) Armstrong County, PA",,302,,300,,99.34%,,2,,0.66%,,292,,7,,1,,2,,0,,0,,0,,0.06,,4.95,,0.97,,,
"(1V04) (529GD) Clarion County, PA",,257,,256,,99.61%,,1,,0.39%,,246,,6,,4,,1,,0,,0,,0,,0.56,,3,,3.62,,,
"(1V04) (529GF) Cranberry Township, PA",,544,,544,,100.00%,,0,,0.00%,,533,,6,,5,,0,,0,,0,,0,,0.04,,1.13,,2.54,,,
"(1V04) (542) Coatesville, PA HCS",,"13,219",,"13,033",,98.59%,,186,,1.41%,,"12,355",,354,,324,,140,,30,,8,,8,,1.56,,3.62,,3.69,,,
"(1V04) (542) Coatesville, PA",,"11,077",,"10,903",,98.43%,,174,,1.57%,,"10,326",,295,,282,,131,,29,,7,,7,,1.69,,3.63,,3.81,,,
"(1V04) (542BU) Coatesville, PA - VADOM",,750,,750,,100.00%,,0,,0.00%,,727,,16,,7,,0,,0,,0,,0,,,,,,0,,,
"(1V04) (542GA) Delaware County, PA",,826,,819,,99.15%,,7,,0.85%,,778,,22,,19,,5,,1,,0,,1,,1.03,,0,,4.31,,,
"(1V04) (542GE) Spring City, PA",,566,,561,,99.12%,,5,,0.88%,,524,,21,,16,,4,,0,,1,,0,,1.71,,0.75,,2.55,,,
"(1V04) (562) Erie, PA HCS",,"12,858",,"12,275",,95.47%,,583,,4.53%,,"10,831",,715,,729,,415,,97,,25,,46,,3.88,,9.8,,2.76,,,
"(1V04) (562) Erie, PA",,"9,623",,"9,155",,95.14%,,468,,4.86%,,"8,012",,560,,583,,326,,83,,17,,42,,4.18,,9.86,,2.48,,,
"(1V04) (562GA) Crawford County, PA",,832,,801,,96.27%,,31,,3.73%,,713,,48,,40,,28,,2,,1,,0,,3.47,,13.79,,1.74,,,
"(1V04) (562GB) Ashtabula County, OH",,770,,721,,93.64%,,49,,6.36%,,645,,35,,41,,36,,7,,4,,2,,6.24,,5.86,,4.22,,,
"(1V04) (562GC) McKean County, PA",,289,,286,,98.96%,,3,,1.04%,,264,,16,,6,,2,,0,,1,,0,,1.69,,4.25,,0.75,,,
"(1V04) (562GD) Venango County, PA",,622,,609,,97.91%,,13,,2.09%,,562,,26,,21,,9,,2,,0,,2,,2.25,,4.16,,5.16,,,
"(1V04) (562GE) Warren County, PA",,722,,703,,97.37%,,19,,2.63%,,635,,30,,38,,14,,3,,2,,0,,3.14,,6.07,,3.66,,,
"(1V04) (595) Lebanon, PA HCS",,"28,824",,"27,960",,97.00%,,864,,3.00%,,"25,194",,"1,434",,"1,332",,583,,171,,57,,53,,2.84,,4.39,,3.75,,,
"(1V04) (595) Lebanon, PA",,"19,105",,"18,435",,96.49%,,670,,3.51%,,"16,566",,918,,951,,441,,142,,45,,42,,4.1,,4.48,,2.9,,,
"(1V04) (595GA) Cumberland County, PA",,"3,820",,"3,733",,97.72%,,87,,2.28%,,"3,349",,219,,165,,58,,13,,5,,11,,2.3,,4.49,,5.6,,,
"(1V04) (595GC) Lancaster County, PA",,"1,549",,"1,527",,98.58%,,22,,1.42%,,"1,418",,52,,57,,21,,1,,0,,0,,2.03,,2.05,,3.39,,,
"(1V04) (595GD) Berks County, PA",,"1,325",,"1,305",,98.49%,,20,,1.51%,,"1,194",,72,,39,,19,,1,,0,,0,,1.85,,2.61,,3.43,,,
"(1V04) (595GE) York, PA",,"2,480",,"2,426",,97.82%,,54,,2.18%,,"2,193",,133,,100,,35,,12,,7,,0,,2.38,,4.94,,4.36,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(1V04) (595GF) Schuylkill County, PA",,496,,485,,97.78%,,11,,2.22%,,425,,40,,20,,9,,2,,0,,0,,2.79,,,,4.92,,,
"(1V04) (595QA) Annville, PA (Fort Indiantown Gap)",,49,,49,,100.00%,,0,,0.00%,,49,,0,,0,,0,,0,,0,,0,,0.47,,,,,,,
"(1V04) (642) Philadelphia, PA HCS",,"34,185",,"32,111",,93.93%,,"2,074",,6.07%,,"27,962",,"1,933",,"2,216",,"1,430",,356,,161,,127,,4.7,,8.27,,2.91,,,
"(1V04) (642) Philadelphia, PA (Corporal Michael J. Crescenz)",,"27,381",,"25,595",,93.48%,,"1,786",,6.52%,,"22,117",,"1,592",,"1,886",,"1,215",,323,,139,,109,,5.18,,8.12,,2.71,,,
"(1V04) (642GA) Burlington County, NJ",,"1,616",,"1,562",,96.66%,,54,,3.34%,,"1,443",,72,,47,,42,,4,,4,,4,,4.28,,5.71,,1.36,,,
"(1V04) (642GC) Horsham, PA (Victor J. Saracini)",,"2,139",,"2,038",,95.28%,,101,,4.72%,,"1,784",,132,,122,,72,,14,,9,,6,,4.46,,9.37,,3.98,,,
"(1V04) (642GD) Gloucester County, NJ",,"1,812",,"1,724",,95.14%,,88,,4.86%,,"1,503",,102,,119,,64,,7,,9,,8,,2.95,,13.32,,3.19,,,
"(1V04) (642GF) Camden, NJ",,449,,422,,93.99%,,27,,6.01%,,365,,25,,32,,24,,3,,0,,0,,5.35,,6.57,,7.68,,,
"(1V04) (642GH) West Philadelphia, PA",,242,,226,,93.39%,,16,,6.61%,,206,,10,,10,,13,,3,,0,,0,,4.42,,,,8.2,,,
"(1V04) (642QA) Chestnut Street, PA",,546,,544,,99.63%,,2,,0.37%,,544,,0,,0,,0,,2,,0,,0,,,,,,,,,
"(1V04) (646) Pittsburgh, PA HCS",,"34,738",,"32,680",,94.08%,,"2,058",,5.92%,,"27,009",,"2,717",,"2,954",,"1,489",,302,,167,,100,,4.74,,9.28,,3.27,,,
"(1V04) (646) Pittsburgh, PA",,"20,680",,"19,302",,93.34%,,"1,378",,6.66%,,"15,631",,"1,756",,"1,915",,976,,208,,127,,67,,6.48,,9.64,,2.45,,,
"(1V04) (646A4) Heinz, PA (H. John Heinz III)",,"6,407",,"6,069",,94.72%,,338,,5.28%,,"5,204",,403,,462,,253,,49,,24,,12,,3.98,,7.65,,3.74,,,
"(1V04) (646GA) Belmont County, OH",,"1,793",,"1,708",,95.26%,,85,,4.74%,,"1,470",,94,,144,,80,,4,,1,,0,,2.36,,10.22,,2.86,,,
"(1V04) (646GB) Westmoreland County, PA",,"1,440",,"1,404",,97.50%,,36,,2.50%,,"1,185",,147,,72,,16,,13,,6,,1,,3.3,,9.09,,4.91,,,
"(1V04) (646GC) Beaver County, PA",,"1,356",,"1,318",,97.20%,,38,,2.80%,,"1,113",,112,,93,,30,,4,,0,,4,,4.94,,6.33,,5.93,,,
"(1V04) (646GD) Washington County, PA",,"1,542",,"1,411",,91.50%,,131,,8.50%,,"1,146",,112,,153,,93,,20,,7,,11,,6.65,,18.24,,8.05,,,
"(1V04) (646GE) Fayette County, PA",,"1,520",,"1,468",,96.58%,,52,,3.42%,,"1,260",,93,,115,,41,,4,,2,,5,,3.83,,5.98,,4.52,,,
"(1V04) (693) Wilkes-Barre, PA HCS",,"22,019",,"20,997",,95.36%,,"1,022",,4.64%,,"18,594",,"1,199",,"1,204",,784,,144,,52,,42,,2.75,,7.23,,5.69,,,
"(1V04) (693) Wilkes-Barre, PA",,"15,338",,"14,469",,94.33%,,869,,5.67%,,"12,614",,890,,965,,674,,127,,36,,32,,2.71,,7.56,,7.25,,,
"(1V04) (693B4) Allentown, PA",,"4,038",,"3,940",,97.57%,,98,,2.43%,,"3,601",,170,,169,,80,,12,,2,,4,,3.45,,4.54,,3.5,,,
"(1V04) (693GA) Sayre, PA",,821,,803,,97.81%,,18,,2.19%,,754,,33,,16,,17,,0,,0,,1,,1.37,,6.78,,0.72,,,
"(1V04) (693GB) Williamsport, PA",,"1,048",,"1,019",,97.23%,,29,,2.77%,,940,,54,,25,,8,,5,,13,,3,,2.32,,2.77,,7.39,,,
"(1V04) (693GC) Tobyhanna, PA",,134,,133,,99.25%,,1,,0.75%,,107,,10,,16,,1,,0,,0,,0,,3.47,,13,,5.07,,,
"(1V04) (693GF) Columbia County, PA",,190,,189,,99.47%,,1,,0.53%,,184,,4,,1,,1,,0,,0,,0,,0.24,,,,3,,,
"(1V04) (693GG) Northampton County, PA",,241,,237,,98.34%,,4,,1.66%,,202,,27,,8,,1,,0,,1,,2,,4.94,,5,,2.91,,,
"(1V04) (693QA) Wayne County, PA",,209,,207,,99.04%,,2,,0.96%,,192,,11,,4,,2,,0,,0,,0,,1.49,,,,17.75,,,
"(1V05) (540) Clarksburg, WV HCS",,"17,557",,"16,874",,96.11%,,683,,3.89%,,"14,772",,"1,156",,946,,482,,122,,38,,41,,4.14,,6.89,,4.29,,,
"(1V05) (540) Clarksburg, WV (Louis A. Johnson)",,"14,241",,"13,665",,95.96%,,576,,4.04%,,"11,961",,952,,752,,394,,107,,35,,40,,3.91,,6.88,,3.59,,,
"(1V05) (540BU) Clarksburg, WV - VADOM",,15,,15,,100.00%,,0,,0.00%,,11,,1,,3,,0,,0,,0,,0,,,,,,,,,
"(1V05) (540GA) Tucker County, WV",,308,,302,,98.05%,,6,,1.95%,,259,,20,,23,,4,,0,,1,,1,,5.67,,,,1.27,,,
"(1V05) (540GB) Wood County, WV",,"1,337",,"1,272",,95.14%,,65,,4.86%,,"1,107",,82,,83,,51,,12,,2,,0,,4.4,,10.82,,8.18,,,
"(1V05) (540GC) Braxton County, WV",,611,,603,,98.69%,,8,,1.31%,,536,,28,,39,,7,,1,,0,,0,,3.69,,13.75,,2.92,,,
"(1V05) (540GD) Monongalia County, WV",,986,,961,,97.46%,,25,,2.54%,,859,,58,,44,,23,,2,,0,,0,,4.05,,1,,4.19,,,
"(1V05) (540HK) Clarksburg, WV - Mobile",,59,,56,,94.92%,,3,,5.08%,,39,,15,,2,,3,,0,,0,,0,,7.04,,0,,,,,
"(1V05) (512) Baltimore, MD HCS",,"37,122",,"34,321",,92.45%,,"2,801",,7.55%,,"30,340",,"1,830",,"2,151",,"1,663",,550,,229,,359,,3.07,,12.3,,10.01,,,
"(1V05) (512) Baltimore, MD",,"21,663",,"19,384",,89.48%,,"2,279",,10.52%,,"16,702",,"1,194",,"1,488",,"1,353",,437,,195,,294,,4.71,,13.4,,16.41,,,
"(1V05) (512A5) Perry Point, MD",,"5,368",,"5,134",,95.64%,,234,,4.36%,,"4,694",,230,,210,,125,,53,,18,,38,,2.18,,12.48,,5.42,,,
"(1V05) (512GA) Cambridge, MD",,"1,734",,"1,701",,98.10%,,33,,1.90%,,"1,556",,77,,68,,23,,5,,1,,4,,2.1,,6.46,,3.29,,,
"(1V05) (512GC) Glen Burnie, MD",,"1,546",,"1,503",,97.22%,,43,,2.78%,,"1,354",,76,,73,,12,,14,,5,,12,,4.36,,10.25,,7.34,,,
"(1V05) (512GD) Loch Raven, MD",,"2,758",,"2,644",,95.87%,,114,,4.13%,,"2,381",,103,,160,,97,,12,,2,,3,,1.31,,6.71,,2.86,,,
"(1V05) (512GE) Pocomoke City, MD",,509,,498,,97.84%,,11,,2.16%,,399,,38,,61,,9,,2,,0,,0,,2.69,,2,,11.19,,,
"(1V05) (512GF) Eastern Baltimore County, MD",,932,,923,,99.03%,,9,,0.97%,,858,,40,,25,,6,,3,,0,,0,,1.46,,0,,4.38,,,
"(1V05) (512GG) Fort Meade, MD",,"1,347",,"1,286",,95.47%,,61,,4.53%,,"1,165",,60,,61,,26,,20,,8,,7,,2.04,,7.04,,11.17,,,
(1V05) (512PA) 512PA,,35,,29,,82.86%,,6,,17.14%,,26,,3,,0,,4,,2,,0,,0,,,,,,8.89,,,
"(1V05) (512QA) Baltimore West Fayette Street, MD",,"1,230",,"1,219",,99.11%,,11,,0.89%,,"1,205",,9,,5,,8,,2,,0,,1,,,,21.12,,0.88,,,
"(1V05) (613) Martinsburg, WV HCS",,"28,692",,"27,264",,95.02%,,"1,428",,4.98%,,"24,116",,"1,622",,"1,526",,897,,296,,145,,90,,3.86,,8.58,,6.44,,,
"(1V05) (613) Martinsburg, WV",,"20,330",,"19,166",,94.27%,,"1,164",,5.73%,,"16,910",,"1,123",,"1,133",,683,,272,,133,,76,,4.47,,9.06,,6.69,,,
"(1V05) (613BU) Martinsburg, WV - VADOM",,535,,533,,99.63%,,2,,0.37%,,492,,33,,8,,2,,0,,0,,0,,,,,,1.08,,,
"(1V05) (613GA) Cumberland, MD",,"1,199",,"1,148",,95.75%,,51,,4.25%,,966,,95,,87,,48,,2,,0,,1,,7.24,,4.83,,2.84,,,
"(1V05) (613GB) Hagerstown, MD",,"1,154",,"1,112",,96.36%,,42,,3.64%,,"1,015",,56,,41,,34,,3,,4,,1,,3.47,,1.98,,6.35,,,
"(1V05) (613GC) Stephens City, VA",,"1,919",,"1,885",,98.23%,,34,,1.77%,,"1,747",,78,,60,,28,,4,,1,,1,,2.79,,4.53,,3.85,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(1V05) (613GD) Franklin, WV",,73,,73,,100.00%,,0,,0.00%,,68,,4,,1,,0,,0,,0,,0,,1.24,,,,0,,,
"(1V05) (613GE) Petersburg, WV",,368,,362,,98.37%,,6,,1.63%,,335,,18,,9,,5,,1,,0,,0,,1.81,,2.4,,4.19,,,
"(1V05) (613GF) Harrisonburg, VA",,"1,228",,"1,198",,97.56%,,30,,2.44%,,"1,082",,62,,54,,20,,3,,2,,5,,2.31,,5.57,,13.63,,,
"(1V05) (613GG) Fort Detrick, MD",,"1,886",,"1,787",,94.75%,,99,,5.25%,,"1,501",,153,,133,,77,,11,,5,,6,,3.75,,6.61,,9.71,,,
"(1V05) (688) Washington, DC HCS",,"42,719",,"41,801",,97.85%,,918,,2.15%,,"39,511",,"1,035",,"1,255",,580,,216,,85,,37,,0.9,,3.78,,2.14,,,
"(1V05) (688) Washington, DC",,"35,837",,"34,980",,97.61%,,857,,2.39%,,"32,913",,906,,"1,161",,538,,207,,76,,36,,1.13,,3.82,,2.66,,,
"(1V05) (688GA) Fort Belvoir, VA",,"2,483",,"2,470",,99.48%,,13,,0.52%,,"2,419",,37,,14,,11,,1,,1,,0,,0.6,,1.53,,0.19,,,
"(1V05) (688GB) Southeast Washington, DC",,234,,234,,100.00%,,0,,0.00%,,229,,3,,2,,0,,0,,0,,0,,0.41,,0,,0.6,,,
"(1V05) (688GD) Charlotte Hall, MD",,"1,028",,"1,024",,99.61%,,4,,0.39%,,997,,16,,11,,3,,0,,1,,0,,0.65,,2.76,,0.02,,,
"(1V05) (688GE) Southern Prince Georges County, MD",,"2,042",,"2,023",,99.07%,,19,,0.93%,,"1,963",,28,,32,,15,,3,,0,,1,,0.28,,4.69,,0.44,,,
"(1V05) (688GF) Montgomery County, MD",,757,,732,,96.70%,,25,,3.30%,,673,,27,,32,,13,,5,,7,,0,,1.36,,6.52,,5.45,,,
"(1V05) (688GG) Lexington Park, MD",,253,,253,,100.00%,,0,,0.00%,,249,,3,,1,,0,,0,,0,,0,,0.44,,,,0,,,
(1V05) (688HK) Washington MOC,,10,,10,,100.00%,,0,,0.00%,,10,,0,,0,,0,,0,,0,,0,,0,,,,,,,
"(1V05) (688QA) Franklin Street, DC",,75,,75,,100.00%,,0,,0.00%,,58,,15,,2,,0,,0,,0,,0,,,,,,3.88,,,
"(1V05) (517) Beckley, WV HCS",,"10,956",,"10,484",,95.69%,,472,,4.31%,,"9,506",,450,,528,,363,,75,,17,,17,,4.86,,6.26,,1.72,,,
"(1V05) (517) Beckley, WV",,"9,890",,"9,444",,95.49%,,446,,4.51%,,"8,568",,397,,479,,343,,73,,17,,13,,4.95,,6.26,,1.46,,,
"(1V05) (517GB) Greenbrier County, WV",,573,,570,,99.48%,,3,,0.52%,,527,,25,,18,,2,,1,,0,,0,,2.11,,,,4.73,,,
"(1V05) (517QA) Princeton, WV",,493,,470,,95.33%,,23,,4.67%,,411,,28,,31,,18,,1,,0,,4,,7.34,,,,3.16,,,
"(1V05) (581) Huntington, WV HCS",,"21,856",,"20,906",,95.65%,,950,,4.35%,,"18,508",,"1,178",,"1,220",,558,,222,,80,,90,,2.79,,7.85,,2.59,,,
"(1V05) (581) Huntington, WV (Hershel ""Woody"" Williams)",,"17,142",,"16,229",,94.67%,,913,,5.33%,,"14,275",,926,,"1,028",,531,,217,,77,,88,,3.31,,8.38,,1.73,,,
"(1V05) (581GA) Prestonsburg, KY",,"1,521",,"1,506",,99.01%,,15,,0.99%,,"1,429",,40,,37,,10,,4,,0,,1,,0.76,,1.26,,4.85,,,
"(1V05) (581GB) Charleston, WV",,"2,622",,"2,605",,99.35%,,17,,0.65%,,"2,273",,196,,136,,12,,1,,3,,1,,3.35,,2.03,,4.64,,,
"(1V05) (581GG) Gallipolis, OH",,385,,382,,99.22%,,3,,0.78%,,372,,7,,3,,3,,0,,0,,0,,0.6,,13.2,,2,,,
"(1V05) (581GH) Lenore, WV",,175,,173,,98.86%,,2,,1.14%,,148,,9,,16,,2,,0,,0,,0,,5.13,,0,,0,,,
"(1V05) (581QA) Huntington Ninth Street, WV",,11,,11,,100.00%,,0,,0.00%,,11,,0,,0,,0,,0,,0,,0,,0,,,,,,,
"(1V06) (558) Durham, NC HCS",,"43,002",,"38,621",,89.81%,,"4,381",,10.19%,,"33,480",,"2,253",,"2,888",,"2,338",,"1,069",,498,,476,,4.76,,12.1,,6.41,,,
"(1V06) (558) Durham, NC",,"25,148",,"22,233",,88.41%,,"2,915",,11.59%,,"19,071",,"1,315",,"1,847",,"1,556",,724,,338,,297,,3.87,,11.24,,5.13,,,
"(1V06) (558GA) Greenville, NC",,"8,581",,"7,537",,87.83%,,"1,044",,12.17%,,"6,577",,445,,515,,483,,265,,133,,163,,7.57,,14.72,,8.74,,,
"(1V06) (558GB) Raleigh, NC",,"1,803",,"1,709",,94.79%,,94,,5.21%,,"1,497",,105,,107,,80,,12,,2,,0,,2.9,,25.79,,2.24,,,
"(1V06) (558GC) Morehead City, NC",,"1,412",,"1,321",,93.56%,,91,,6.44%,,"1,093",,100,,128,,56,,25,,8,,2,,5.34,,13,,9.51,,,
"(1V06) (558GD) Durham County, NC",,"1,505",,"1,437",,95.48%,,68,,4.52%,,"1,332",,55,,50,,45,,14,,5,,4,,,,,,5.68,,,
"(1V06) (558GE) Hillandale Road, NC",,"1,154",,"1,125",,97.49%,,29,,2.51%,,"1,012",,59,,54,,26,,2,,0,,1,,3.6,,7.41,,0.35,,,
"(1V06) (558GF) Wake County, NC",,"1,989",,"1,879",,94.47%,,110,,5.53%,,"1,736",,70,,73,,68,,22,,12,,8,,,,,,5.6,,,
"(1V06) (558GG) Raleigh-Atlantic Avenue, NC",,"1,283",,"1,257",,97.97%,,26,,2.03%,,"1,059",,93,,105,,20,,5,,0,,1,,4.42,,6.73,,1.23,,,
"(1V06) (558QA) Brier Creek, NC",,127,,123,,96.85%,,4,,3.15%,,103,,11,,9,,4,,0,,0,,0,,,,2.66,,,,,
"(1V06) (565) Fayetteville, NC HCS",,"45,111",,"42,792",,94.86%,,"2,319",,5.14%,,"37,042",,"2,828",,"2,922",,"1,604",,450,,120,,145,,5.56,,9.06,,3.66,,,
"(1V06) (565) Fayetteville, NC",,"9,303",,"8,981",,96.54%,,322,,3.46%,,"8,369",,281,,331,,249,,49,,16,,8,,1.48,,5.27,,3.24,,,
"(1V06) (565GA) Jacksonville, NC",,"2,055",,"1,988",,96.74%,,67,,3.26%,,"1,799",,95,,94,,39,,10,,8,,10,,4.81,,13.14,,3.25,,,
"(1V06) (565GC) Wilmington, NC",,"7,403",,"7,190",,97.12%,,213,,2.88%,,"6,194",,533,,463,,126,,53,,13,,21,,3.51,,6.31,,3.01,,,
"(1V06) (565GD) Hamlet, NC",,764,,751,,98.30%,,13,,1.70%,,655,,62,,34,,8,,2,,1,,2,,5.45,,5.33,,2.09,,,
"(1V06) (565GE) Robeson County, NC",,"1,038",,"1,029",,99.13%,,9,,0.87%,,936,,46,,47,,9,,0,,0,,0,,2.75,,8.33,,1.32,,,
