facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V16) (598GE) Pine Bluff,,741,722,,,97.44%,19,2.56%,606,,60,56,19,0,0,0,6,0.00,5,
(V16) (598GF) Searcy,,955,922,,,96.54%,33,3.46%,835,,40,47,29,3,1,0,4,1,6,
(V16) (598GG) Conway,,"1,771","1,676",,,94.64%,95,5.36%,"1,265",,218,193,93,2,0,0,7,9,6,
(V16) (598GH) Russellville,,697,697,,,100.00%,0,0.00%,690,,5,2,0,0,0,0,0,0.10,0,
"(V16) (623) Muskogee, OK",,"23,194","22,139",,,95.45%,"1,055",4.55%,"18,331",,"2,020","1,788",760,225,49,21,5,6,6,
"(V16) (623) Jack C Montgomery
VAMC",,"12,273","11,722",,,95.51%,551,4.49%,"9,921",,"1,028",773,406,89,39,17,3,6,4,
(V16) (623BY) Tulsa,,"9,511","9,008",,,94.71%,503,5.29%,"7,048",,956,"1,004",353,136,10,4,7,7,10,
(V16) (623GA) Hartshorne,,618,618,,,100.00%,0,0.00%,587,,20,11,0,0,0,0,0,0,3,
(V16) (623GB) Vinita,,792,791,,,99.87%,1,0.13%,775,,16,0,1,0,0,0,1,1,0,
"(V16) (629) New Orleans, LA",,"34,272","32,994",,,96.27%,"1,278",3.73%,"27,956",,"2,491","2,547",927,345,5,1,7,8,3,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V16) (629) New Orleans VAMC,,"21,794","20,832",,,95.59%,962,4.41%,"17,373",,"1,573","1,886",647,309,5,1,10,8,3,
(V16) (629BY) Baton Rouge,,"6,662","6,428",,,96.49%,234,3.51%,"5,545",,505,378,212,22,0,0,5,5,5,
(V16) (629GA) Houma,,"1,109","1,072",,,96.66%,37,3.34%,946,,75,51,36,1,0,0,5,1,7.60,
(V16) (629GB) Hammond,,"1,540","1,520",,,98.70%,20,1.30%,"1,266",,143,111,20,0,0,0,6.60,5,0,
(V16) (629GC) Slidell,,"1,787","1,764",,,98.71%,23,1.29%,"1,608",,94,62,10,13,0,0,5,6,0.00,
(V16) (629GD) St. John,,731,731,,,100.00%,0,0.00%,645,,62,24,0,0,0,0,3.30,3,2,
(V16) (629GE) Franklin,,300,300,,,100.00%,0,0.00%,280,,16,4,0,0,0,0,2,2.00,2,
(V16) (629GF) Bogalusa,,349,347,,,99.43%,2,0.57%,293,,23,31,2,0,0,0,6,0.00,3,
"(V16) (635) Oklahoma City, OK",,"37,293","35,585",,,95.42%,"1,708",4.58%,"32,032",,"1,801","1,752","1,034",426,166,82,5,11,2,
(V16) (635) Oklahoma City VAMC,,"32,003","30,410",,,95.02%,"1,593",4.98%,"27,399",,"1,503","1,508",945,410,158,80,5,11,1,
(V16) (635GA) Lawton,,"2,567","2,516",,,98.01%,51,1.99%,"2,195",,150,171,45,4,1,1,6,6,1,
(V16) (635GB) Wichita Falls,,"1,008",961,,,95.34%,47,4.66%,855,,70,36,30,9,7,1,7,0.00,3,
(V16) (635GC) Blackwell,,131,131,,,100.00%,0,0.00%,130,,1,0,0,0,0,0,0,0.00,1,
(V16) (635GD) Ada,,335,333,,,99.40%,2,0.60%,300,,27,6,2,0,0,0,2,0.00,5,
(V16) (635GE) Stillwater,,476,471,,,98.95%,5,1.05%,422,,34,15,4,1,0,0,3,0.00,8,
(V16) (635GF) Altus,,120,118,,,98.33%,2,1.67%,114,,0,4,2,0,0,0,0.00,0.00,11,
(V16) (635GG) Enid,,172,171,,,99.42%,1,0.58%,167,,1,3,0,1,0,0,0.00,0.00,5,
(V16) (635HB) Ardmore,,481,474,,,98.54%,7,1.46%,450,,15,9,6,1,0,0,1,0.00,10,
"(V16) (667) Shreveport, LA",,"23,590","22,868",,,96.94%,722,3.06%,"20,794",,"1,146",928,504,162,52,4,7,3,3,
(V16) (667) Overton Brooks VAMC,,"18,208","17,555",,,96.41%,653,3.59%,"15,794",,953,808,452,151,47,3,13,3,3,
(V16) (667GA) Texarkana,,"1,653","1,632",,,98.73%,21,1.27%,"1,520",,65,47,14,3,4,0,2,1,3,
(V16) (667GB) Monroe,,"1,723","1,717",,,99.65%,6,0.35%,"1,699",,11,7,2,2,1,1,1,0,0.00,
(V16) (667GC) Longview,,"1,998","1,956",,,97.90%,42,2.10%,"1,773",,117,66,36,6,0,0,2,0.30,8.50,
(V16) (667MA) IDES Barksdale AFB,,8,8,,,100.00%,0,0.00%,8,,0,0,0,0,0,0,,0.00,,
"(V17) (549) Dallas, TX",,"76,967","75,551",,,98.16%,"1,416",1.84%,"69,264",,"3,329","2,958","1,110",283,23,0,4,3,2,
(V17) (549) Dallas VAMC,,"51,083","50,246",,,98.36%,837,1.64%,"47,016",,"1,674","1,556",670,156,11,0,4,3,1,
"(V17) (549A4) Sam Rayburn
Memorial Veterans Center",,"7,378","7,236",,,98.08%,142,1.92%,"6,438",,332,466,128,14,0,0,3,5,2,
(V17) (549BY) Fort Worth VA Clinic,,"14,225","13,870",,,97.50%,355,2.50%,"12,391",,798,681,234,109,12,0,3,5,3,
(V17) (549GA) Tyler,,627,617,,,98.41%,10,1.59%,551,,50,16,9,1,0,0,4,2.10,4,
(V17) (549GD) Denton,,"1,280","1,260",,,98.44%,20,1.56%,972,,205,83,20,0,0,0,6,0.00,2,
(V17) (549GE) Bridgeport,,222,222,,,100.00%,0,0.00%,202,,17,3,0,0,0,0,2,0.00,4,
(V17) (549GF) Granbury,,333,333,,,100.00%,0,0.00%,259,,61,13,0,0,0,0,4,,,
(V17) (549GH) Greenville,,213,209,,,98.12%,4,1.88%,182,,13,14,4,0,0,0,4,4,4,
(V17) (549GJ) Sherman,,843,841,,,99.76%,2,0.24%,683,,123,35,2,0,0,0,4.10,7,1,
(V17) (549QC) Broadway,,763,717,,,93.97%,46,6.03%,570,,56,91,43,3,0,0,6,14,,
"(V17) (671) San Antonio, TX",,"56,199","50,908",,,90.59%,"5,291",9.41%,"43,418",,"2,898","4,592","3,333","1,683",162,113,11,10,6,
"(V17) (671) Audie L Murphy Memorial
Veterans Hospital",,"38,507","34,691",,,90.09%,"3,816",9.91%,"29,865",,"1,801","3,025","2,267","1,345",126,78,13,10,3,
(V17) (671A4) Kerrville VAMC,,"3,753","3,271",,,87.16%,482,12.84%,"2,790",,154,327,313,144,13,12,19.10,9,2.70,
"(V17) (671BU) San Antonio
Domiciliary",,464,464,,,100.00%,0,0.00%,411,,39,14,0,0,0,0,,,0,
"(V17) (671BY) Frank M Tejeda VA
OPC",,"7,396","6,790",,,91.81%,606,8.19%,"5,773",,425,592,464,121,7,14,12.20,2,6,
(V17) (671GB) Victoria,,"1,115","1,057",,,94.80%,58,5.20%,806,,128,123,56,2,0,0,7,10,3,
(V17) (671GF) South Bexar County,,"1,070",922,,,86.17%,148,13.83%,784,,63,75,104,36,8,0,7,,23,
(V17) (671GH) Beeville,,124,124,,,100.00%,0,0.00%,124,,0,0,0,0,0,0,0.00,,,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V17) (671GK) San Antonio,,"1,042","1,014",,,97.31%,28,2.69%,873,,80,61,20,7,0,1,4,,,
"(V17) (671GL) New Braunfels VA
Clinic",,264,264,,,100.00%,0,0.00%,190,,22,52,0,0,0,0,6,,,
(V17) (671GN) Seguin,,71,71,,,100.00%,0,0.00%,69,,2,0,0,0,0,0,1,,,
"(V17) (671GO) North Central Federal
VA Clinic",,"2,344","2,191",,,93.47%,153,6.53%,"1,684",,184,323,109,28,8,8,9,4,9,
(V17) (671PA) San Antonio SARRTP,,49,49,,,100.00%,0,0.00%,49,,0,0,0,0,0,0,,,,
"(V17) (674) Temple, TX",,"64,083","60,156",,,93.87%,"3,927",6.13%,"50,553",,"4,246","5,357","3,118",679,71,59,8,9,5,
"(V17) (674) Olin E Teague Veterans
Center",,"35,222","32,555",,,92.43%,"2,667",7.57%,"27,608",,"2,006","2,941","2,139",440,42,46,12,9,7,
(V17) (674A4) Doris Miller VAMC,,"6,883","6,733",,,97.82%,150,2.18%,"5,755",,443,535,131,14,5,0,6,5,1.90,
(V17) (674BY) Austin,,"16,649","15,645",,,93.97%,"1,004",6.03%,"13,036",,"1,266","1,343",747,220,24,13,6,10.70,3,
(V17) (674GA) Palestine,,"1,023","1,011",,,98.83%,12,1.17%,827,,135,49,12,0,0,0,4,2,9,
(V17) (674GB) Brownwood,,889,888,,,99.89%,1,0.11%,778,,62,48,0,1,0,0,2,7,5,
(V17) (674GC) Bryan,,"1,729","1,689",,,97.69%,40,2.31%,"1,343",,188,158,37,3,0,0,5,0,7.20,
(V17) (674GD) Cedar Park,,"1,509","1,456",,,96.49%,53,3.51%,"1,037",,136,283,52,1,0,0,9,10,5,
(V17) (674HB) LaGrange,,179,179,,,100.00%,0,0.00%,169,,10,0,0,0,0,0,2,4.00,6,
(V17) (740) VA Texas Valley Coastal Bend HCS,,"19,687","18,596",,,94.46%,"1,091",5.54%,"16,346",,"1,130","1,120",574,394,56,67,5,10,6,
(V17) (740) Harlingen VA Clinic,,"4,269","3,898",,,91.31%,371,8.69%,"3,293",,317,288,173,141,31,26,14,10.40,2,
(V17) (740GA) Harlingen,,"3,782","3,552",,,93.92%,230,6.08%,"3,107",,202,243,118,69,17,26,6,11.00,7.20,
(V17) (740GB) McAllen,,"5,034","4,806",,,95.47%,228,4.53%,"4,253",,274,279,164,51,3,10,4,10,8,
(V17) (740GC) Corpus Christi,,"5,115","4,866",,,95.13%,249,4.87%,"4,292",,295,279,110,129,5,5,5,9,4,
(V17) (740GD) Laredo,,"1,487","1,474",,,99.13%,13,0.87%,"1,401",,42,31,9,4,0,0,2,1,3,
(V18) (501) New Mexico HCS,,"34,207","33,288",,,97.31%,919,2.69%,"29,506",,"2,056","1,726",728,146,35,10,4,4,6,
"(V18) (501) Raymond G Murphy
VAMC",,"26,409","25,654",,,97.14%,755,2.86%,"22,622",,"1,596","1,436",610,107,28,10,5,4,5,
(V18) (501G2) Las Vegas,,762,750,,,98.43%,12,1.57%,654,,60,36,12,0,0,0,2,0.00,7,
(V18) (501GA) Artesia,,640,631,,,98.59%,9,1.41%,608,,8,15,9,0,0,0,0,0.00,8,
(V18) (501GB) Farmington,,841,836,,,99.41%,5,0.59%,762,,48,26,2,3,0,0,2,0.00,3.70,
(V18) (501GC) Silver City,,545,538,,,98.72%,7,1.28%,498,,19,21,4,3,0,0,2,0.00,9,
(V18) (501GD) Gallup NM,,420,380,,,90.48%,40,9.52%,357,,10,13,23,15,2,0,2.50,0.00,33,
(V18) (501GE) Espanola,,352,345,,,98.01%,7,1.99%,267,,54,24,5,2,0,0,4,0.00,14,
"(V18) (501GH) Truth or
Consequences",,389,389,,,100.00%,0,0.00%,386,,3,0,0,0,0,0,0.20,,0.00,
(V18) (501GI) Alamogordo,,545,535,,,98.17%,10,1.83%,451,,69,15,7,1,2,0,3,0.00,22,
(V18) (501GJ) Durango,,522,520,,,99.62%,2,0.38%,519,,1,0,2,0,0,0,0,0.00,1,
(V18) (501GK) Santa Fe,,670,664,,,99.10%,6,0.90%,598,,38,28,6,0,0,0,2,2,6,
"(V18) (501GM) Northwest Metro VA
Clinic",,"1,760","1,700",,,96.59%,60,3.41%,"1,458",,137,105,42,15,3,0,4,6,7,
(V18) (501HB) Raton,,317,311,,,98.11%,6,1.89%,292,,12,7,6,0,0,0,2,0.00,13.00,
(V18) (501MA) IDES Kirtland AFB,,32,32,,,100.00%,0,0.00%,32,,0,0,0,0,0,0,,0.00,,
"(V18) (501PA) Albuquerque/Gallup
PRRTP",,3,3,,,100.00%,0,0.00%,2,,1,0,0,0,0,0,,,,
"(V18) (504) Amarillo, TX",,"16,063","15,278",,,95.11%,785,4.89%,"14,042",,489,747,611,162,11,1,8,7,1,
(V18) (504) Thomas E Creek VAMC,,"11,357","10,863",,,95.65%,494,4.35%,"10,074",,312,477,355,129,9,1,8,7,0,
(V18) (504BY) Lubbock TX,,"4,023","3,769",,,93.69%,254,6.31%,"3,399",,138,232,223,29,2,0,8,7,1,
(V18) (504BZ) Clovis,,548,520,,,94.89%,28,5.11%,462,,36,22,24,4,0,0,7,4,4,
(V18) (504GA) Childress,,90,90,,,100.00%,0,0.00%,78,,2,10,0,0,0,0,4,,0,
(V18) (504HB) Dalhart,,45,36,,,80.00%,9,20.00%,29,,1,6,9,0,0,0,20,,0.00,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V18) (519) Big Spring, TX",,"6,757","6,622",,,98.00%,135,2.00%,"5,508",,569,545,127,8,0,0,5,5,3,
"(V18) (519) George H OBrien Jr
VAMC",,"2,682","2,601",,,96.98%,81,3.02%,"2,106",,228,267,78,3,0,0,9,5,3.40,
(V18) (519GA) Permian Basin,,"1,117","1,106",,,99.02%,11,0.98%,892,,101,113,11,0,0,0,6.40,7,2,
(V18) (519GB) Hobbs,,250,239,,,95.60%,11,4.40%,195,,26,18,11,0,0,0,5,7.00,12,
(V18) (519GD) Fort Stockton,,45,45,,,100.00%,0,0.00%,33,,6,6,0,0,0,0,5,,,
(V18) (519HC) Abilene,,"1,754","1,738",,,99.09%,16,0.91%,"1,491",,150,97,12,4,0,0,3.00,6,4,
(V18) (519HD) Stamford,,7,7,,,100.00%,0,0.00%,3,,2,2,0,0,0,0,8,,,
(V18) (519HF) San Angelo,,902,886,,,98.23%,16,1.77%,788,,56,42,15,1,0,0,3,6.20,3,
"(V18) (644) Phoenix, AZ",,"56,308","52,143",,,92.60%,"4,165",7.40%,"43,175",,"3,874","5,094","3,042",759,283,81,7.50,10,5,
(V18) (644) Carl T Hayden VAMC,,"39,800","36,510",,,91.73%,"3,290",8.27%,"29,970",,"2,723","3,817","2,321",636,261,72,8,11,5,
(V18) (644BY) Southeast,,"8,081","7,588",,,93.90%,493,6.10%,"6,220",,621,747,396,81,11,5,7,10,5.10,
(V18) (644GA) Sun City,,"4,607","4,394",,,95.38%,213,4.62%,"3,815",,246,333,178,29,6,0,7,3,8,
(V18) (644GB) Show Low,,908,861,,,94.82%,47,5.18%,780,,58,23,47,0,0,0,6,2,0.10,
(V18) (644GD) Payson,,74,70,,,94.59%,4,5.41%,68,,1,1,4,0,0,0,1.30,,5,
(V18) (644GE) Thunderbird,,"2,014","1,958",,,97.22%,56,2.78%,"1,693",,154,111,41,8,3,4,6,5,2,
(V18) (644GF) Globe,,246,241,,,97.97%,5,2.03%,225,,7,9,4,1,0,0,1,3.80,4,
"(V18) (644GG) Northeast Phoenix VA
Clinic",,578,521,,,90.14%,57,9.86%,404,,64,53,51,4,2,0,13,18.50,2,
(V18) (649) Northern Arizona HCS,,"15,056","14,578",,,96.83%,478,3.17%,"13,362",,636,580,337,106,20,15,4,8,2,
(V18) (649) Bob Stump VAMC,,"10,714","10,302",,,96.15%,412,3.85%,"9,591",,359,352,293,84,20,15,3,8.30,3,
(V18) (649GA) Kingman,,"1,165","1,142",,,98.03%,23,1.97%,959,,138,45,7,16,0,0,6,3,0.00,
(V18) (649GB) Flagstaff,,778,771,,,99.10%,7,0.90%,623,,46,102,7,0,0,0,5,12,0,
(V18) (649GC) Lake Havasu,,"1,247","1,235",,,99.04%,12,0.96%,"1,208",,22,5,11,1,0,0,1,1,1,
(V18) (649GD) Anthem,,426,423,,,99.30%,3,0.70%,349,,34,40,3,0,0,0,6,0.00,0.00,
(V18) (649GE) Cottonwood,,726,705,,,97.11%,21,2.89%,632,,37,36,16,5,0,0,5,6.00,0.00,
(V18) (678) Southern Arizona HCS,,"37,562","35,403",,,94.25%,"2,159",5.75%,"30,736",,"2,208","2,459","1,505",513,91,50,6,8,4,
(V18) (678) Tucson VAMC,,"28,469","26,703",,,93.80%,"1,766",6.20%,"22,926",,"1,708","2,069","1,229",401,87,49,6,9,3,
(V18) (678GA) Sierra Vista,,"2,116","1,968",,,93.01%,148,6.99%,"1,746",,106,116,89,59,0,0,5,7,14,
(V18) (678GB) Yuma,,"1,340","1,325",,,98.88%,15,1.12%,"1,220",,77,28,11,2,1,1,3,3,1,
(V18) (678GC) Casa Grande,,"1,873","1,768",,,94.39%,105,5.61%,"1,619",,73,76,79,23,3,0,9,2,7,
(V18) (678GD) Safford,,253,225,,,88.93%,28,11.07%,173,,31,21,26,2,0,0,7,5.80,22,
(V18) (678GE) Green Valley,,360,356,,,98.89%,4,1.11%,339,,7,10,4,0,0,0,1,3,10,
"(V18) (678GF) Northwest Tucson VA
Clinic",,"1,769","1,705",,,96.38%,64,3.62%,"1,540",,102,63,53,11,0,0,6,3.20,0,
"(V18) (678GG) Southeast Tucson VA
Clinic",,"1,341","1,312",,,97.84%,29,2.16%,"1,132",,104,76,14,15,0,0,6,3,4,
"(V18) (678MA) IDES Davis-Monthan
AFB",,15,15,,,100.00%,0,0.00%,15,,0,0,0,0,0,0,,0.00,,
(V18) (678MB) IDES Fort Huachuca,,26,26,,,100.00%,0,0.00%,26,,0,0,0,0,0,0,,0.00,,
"(V18) (756) El Paso, TX",,"18,758","17,522",,,93.41%,"1,236",6.59%,"14,702",,"1,325","1,495",949,263,16,8,8,8,7,
(V18) (756) El Paso VA Clinic,,"16,059","14,923",,,92.93%,"1,136",7.07%,"12,511",,"1,133","1,279",875,239,14,8,10,8,7,
(V18) (756GA) Las Cruces,,"1,367","1,312",,,95.98%,55,4.02%,"1,205",,57,50,39,15,1,0,3,2,7,
(V18) (756GB) El Paso Eastside,,"1,007",970,,,96.33%,37,3.67%,826,,55,89,27,9,1,0,5,2,9,
(V18) (756MA) IDES Fort Bliss,,325,317,,,97.54%,8,2.46%,160,,80,77,8,0,0,0,,11,8,
(V19) (436) Montana HCS,,"20,408","19,340",,,94.77%,"1,068",5.23%,"17,661",,812,867,692,274,78,24,5,8.10,3,
"(V19) (436) Fort Harrison VA Medical
Center",,"7,265","6,702",,,92.25%,563,7.75%,"6,023",,327,352,339,155,56,13,12,9.40,3,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V19) (436GA) Anaconda,,240,227,,,94.58%,13,5.42%,202,,10,15,10,2,0,1,6,0,0.00,
(V19) (436GB) Great Falls,,"1,556","1,536",,,98.71%,20,1.29%,"1,400",,74,62,13,5,0,2,3,4,4,
(V19) (436GC) Missoula,,"3,055","2,891",,,94.63%,164,5.37%,"2,683",,84,124,107,49,3,5,6,7,3,
(V19) (436GD) Bozeman,,"1,120","1,101",,,98.30%,19,1.70%,975,,80,46,13,5,1,0,3,6,1,
(V19) (436GF) Kalispell,,"1,878","1,705",,,90.79%,173,9.21%,"1,553",,50,102,120,40,13,0,8,25.00,4,
(V19) (436GH) Billings,,"3,705","3,596",,,97.06%,109,2.94%,"3,314",,146,136,83,18,5,3,1,6,2,
(V19) (436GI) Glasgow,,159,159,,,100.00%,0,0.00%,150,,7,2,0,0,0,0,1,0.00,0.00,
(V19) (436GJ) Miles City VA Clinic,,433,433,,,100.00%,0,0.00%,402,,17,14,0,0,0,0,3,0,0.70,
(V19) (436GK) Glendive,,184,179,,,97.28%,5,2.72%,166,,5,8,5,0,0,0,4,,1.40,
(V19) (436GL) Cut Bank,,246,246,,,100.00%,0,0.00%,244,,0,2,0,0,0,0,0,0.00,6,
(V19) (436GM) Lewistown,,271,269,,,99.26%,2,0.74%,256,,10,3,2,0,0,0,1,0,2,
"(V19) (436HC) Merril Lundman VA
OPC",,285,285,,,100.00%,0,0.00%,282,,2,1,0,0,0,0,0,0.00,0.00,
(V19) (436MA) IDES Malmstrom AFB,,11,11,,,100.00%,0,0.00%,11,,0,0,0,0,0,0,,0.00,,
"(V19) (442) Cheyenne, WY",,"13,132","12,226",,,93.10%,906,6.90%,"10,230",,933,"1,063",701,172,24,9,4,9,6,
"(V19) (442) Cheyenne VA Medical
Center",,"8,167","7,624",,,93.35%,543,6.65%,"6,367",,596,661,395,127,16,5,4,8,4,
(V19) (442GB) Sidney,,136,134,,,98.53%,2,1.47%,128,,4,2,2,0,0,0,1,7.00,5,
(V19) (442GC) Fort Collins,,"2,370","2,154",,,90.89%,216,9.11%,"1,796",,164,194,181,25,8,2,3,15,8,
(V19) (442GD) Greeley,,"2,239","2,100",,,93.79%,139,6.21%,"1,738",,160,202,121,17,0,1,4,9.10,5,
"(V19) (442HK) Wheatland VA Mobile
Clinic",,127,121,,,95.28%,6,4.72%,115,,4,2,2,3,0,1,4.60,,2,
(V19) (442QA) Rawlins,,47,47,,,100.00%,0,0.00%,40,,5,2,0,0,0,0,2,,0.00,
"(V19) (442QB) Torrington VA Mobile
Clinic",,46,46,,,100.00%,0,0.00%,46,,0,0,0,0,0,0,0.00,,0.00,
"(V19) (554) Denver, CO",,"51,976","47,476",,,91.34%,"4,500",8.66%,"40,694",,"3,195","3,587","2,707","1,028",446,319,11,11,6,
"(V19) (554) Denver VA Medical
Center",,"26,935","25,033",,,92.94%,"1,902",7.06%,"21,664",,"1,690","1,679","1,245",394,167,96,6,9,6,
(V19) (5549AB) VANURS Pueblo,,1,0,,,0.00%,1,100.00%,0,,0,0,1,0,0,0,,,,
(V19) (554GB) Aurora,,"1,777","1,681",,,94.60%,96,5.40%,"1,480",,91,110,93,2,0,1,5,6.90,0.00,
(V19) (554GC) Golden,,"5,061","4,842",,,95.67%,219,4.33%,"4,138",,329,375,183,21,7,8,5.40,7,2,
(V19) (554GD) Pueblo,,"4,676","4,340",,,92.81%,336,7.19%,"3,762",,253,325,215,79,33,9,7,12,6,
"(V19) (554GE) PFC Floyd K
Lindstrom VA Clinic",,"11,928","10,112",,,84.78%,"1,816",15.22%,"8,503",,683,926,877,517,218,204,22,20.70,7,
(V19) (554GF) Alamosa,,498,413,,,82.93%,85,17.07%,344,,31,38,48,15,21,1,18,12.60,4,
(V19) (554GG) La Junta,,454,454,,,100.00%,0,0.00%,430,,14,10,0,0,0,0,1,4,2,
(V19) (554GH) Lamar,,103,102,,,99.03%,1,0.97%,77,,16,9,1,0,0,0,5,0.00,4,
(V19) (554GI) Burlington,,114,114,,,100.00%,0,0.00%,98,,6,10,0,0,0,0,4.00,0.00,2,
(V19) (554MA) IDES Fort Carson,,429,385,,,89.74%,44,10.26%,198,,82,105,44,0,0,0,,14,12,
"(V19) (575) Grand Junction, CO",,"9,435","8,821",,,93.49%,614,6.51%,"7,585",,580,656,417,125,54,18,7,11,2,
(V19) (575) Grand Junction VAMC,,"8,620","8,066",,,93.57%,554,6.43%,"6,917",,542,607,368,120,50,16,7,12,2,
(V19) (575GA) Montrose,,696,650,,,93.39%,46,6.61%,576,,30,44,40,3,2,1,4,9,6,
"(V19) (575GB) Major William Edward
Adams VA Clinic",,119,105,,,88.24%,14,11.76%,92,,8,5,9,2,2,1,15,5,4.40,
"(V19) (660) Salt Lake City, UT",,"26,361","24,725",,,93.79%,"1,636",6.21%,"20,973",,"1,666","2,086","1,251",288,59,38,4,9,3,
(V19) (660) George E. Wahlen VAMC,,"19,408","17,916",,,92.31%,"1,492",7.69%,"14,721",,"1,343","1,852","1,140",258,57,37,6,9,3,
(V19) (660GA) Pocatello,,"1,737","1,724",,,99.25%,13,0.75%,"1,633",,58,33,13,0,0,0,2,3,2,
(V19) (660GB) Ogden,,"1,928","1,877",,,97.35%,51,2.65%,"1,605",,147,125,46,4,1,0,4,6,7,
(V19) (660GC) Ely,,79,79,,,100.00%,0,0.00%,79,,0,0,0,0,0,0,0.00,,,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V19) (660GD) Roosevelt,,133,131,,,98.50%,2,1.50%,130,,1,0,1,1,0,0,1,1,3.50,
(V19) (660GE) Orem,,"1,047","1,037",,,99.04%,10,0.96%,956,,52,29,10,0,0,0,3,4,3,
(V19) (660GG) St. George,,"1,143","1,081",,,94.58%,62,5.42%,"1,047",,16,18,35,25,1,1,1,18,5,
(V19) (660GJ) Western Salt Lake,,836,830,,,99.28%,6,0.72%,754,,48,28,6,0,0,0,2,7,2,
"(V19) (660GK) Elko, NV",,31,31,,,100.00%,0,0.00%,29,,1,1,0,0,0,0,,4,0,
(V19) (660MA) IDES Hill AFB,,19,19,,,100.00%,0,0.00%,19,,0,0,0,0,0,0,,0.00,0.00,
"(V19) (666) Sheridan, WY",,"4,990","4,901",,,98.22%,89,1.78%,"4,514",,202,185,62,16,7,4,3,4,1.40,
"(V19) (666) Sheridan VA Medical
Center",,"2,618","2,568",,,98.09%,50,1.91%,"2,312",,127,129,34,10,4,2,6,4,1,
(V19) (666GB) Casper,,635,630,,,99.21%,5,0.79%,593,,18,19,4,1,0,0,1,7,2,
